#{"t_start": 1760986915.1816466, "env_id": "None"}
r,l,t
1.332303,2234,1.652906
1.7941,2234,3.286042
1.724704,2234,5.423804
0.944657,2234,7.194633
2.103304,2234,8.959434
1.535892,2234,11.160098
1.943667,2234,12.94494
1.714263,2234,14.744284
2.014344,2234,16.873148
1.571828,2234,18.651293
1.406764,2234,20.482871
1.666921,2234,22.649879
2.15284,2234,24.374333
1.437891,2234,26.601683
1.71307,2234,28.389865
0.530187,2234,30.069834
2.286966,2234,32.237601
2.047011,2234,33.855828
2.106249,2234,35.634594
2.42804,2234,37.854511
2.070865,2234,39.693862
2.094989,2234,41.625193
2.617384,2234,43.876069
2.618724,2234,45.65579
2.416347,2234,47.883738
3.004993,2234,49.739445
1.95659,2234,51.291686
1.967978,2234,53.237214
1.991293,2234,54.868817
2.599669,2234,56.340982
2.665103,2234,58.500147
2.429993,2234,60.180514
2.86111,2234,61.974429
2.617294,2234,63.969103
2.776747,2234,65.639814
2.166438,2234,67.8751
2.633151,2234,69.602243
3.037683,2234,71.296258
2.812682,2234,73.499189
2.277164,2234,75.207583
2.603066,2234,76.836375
2.609146,2234,79.148221
2.893261,2234,80.705685
3.07729,2234,82.602625
3.255199,2234,84.814396
2.399939,2234,86.524204
2.414034,2234,89.208662
3.195926,2234,91.621832
2.651233,2234,93.384123
2.762805,2234,95.438808
2.97498,2234,97.087044
2.830563,2234,98.85213
2.476843,2234,101.230564
3.212768,2234,102.972803
2.585688,2234,104.789892
3.427869,2234,106.973877
2.922617,2234,108.627712
3.363688,2234,111.161174
2.964877,2234,112.930795
3.102578,2234,114.586129
3.079935,2234,116.832654
2.764857,2234,118.69136
3.575041,2234,120.443279
2.854685,2234,122.638019
3.184678,2234,124.397469
3.374664,2234,126.188617
3.268749,2234,128.549947
3.073389,2234,130.392247
3.525052,2234,132.641278
3.210494,2234,134.306231
3.680188,2234,135.994094
3.036499,2234,138.096642
2.839076,2234,139.601865
2.687594,2234,141.24018
2.733059,2234,143.404129
3.580769,2234,145.215728
3.115202,2234,146.803848
3.017048,2234,148.915697
3.173631,2234,150.588107
3.144756,2234,152.773807
3.091265,2234,154.553944
2.347759,2234,156.263504
3.767971,2234,158.460969
3.134606,2234,160.185551
3.116718,2234,161.948006
3.519327,2234,164.308782
3.894648,2234,165.955697
3.26591,2234,167.729985
3.059799,2234,169.947316
3.236677,2234,171.721973
3.130355,2234,173.940635
3.766195,2234,175.690909
2.786644,2234,177.354808
3.018713,2234,179.476146
3.553106,2234,181.123162
3.532135,2234,182.850238
3.514193,2234,185.00949
3.378861,2234,186.582687
3.389749,2234,188.352863
3.956801,2234,190.412986
3.058475,2234,192.05589
3.237009,2234,194.227891
3.590164,2234,196.098921
3.334285,2234,197.840199
3.456266,2234,199.867114
3.203673,2234,201.489729
2.984888,2234,203.038476
3.826711,2234,205.312206
3.269591,2234,207.028187
3.624082,2234,208.6184
3.442132,2234,210.758883
3.483835,2234,212.496622
3.821714,2234,214.680896
3.730763,2234,216.408904
3.719522,2234,218.0278
3.677728,2234,220.154227
3.228912,2234,221.804838
3.445612,2234,223.398615
4.213422,2234,225.642179
3.620344,2234,227.478352
3.578711,2234,229.257993
3.950147,2234,231.41966
3.763651,2234,233.094258
3.336455,2234,235.228014
3.876599,2234,236.943666
4.465972,2234,238.797492
3.709829,2234,241.172681
3.962595,2234,242.994067
3.699241,2234,244.670564
3.676626,2234,246.909614
3.841879,2234,248.907906
3.796235,2234,250.586704
3.529347,2234,252.854425
4.315396,2234,254.545557
