time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1226.0,-0.13083766666666666,2,1665,,,,,,,,,,
2,8192,1226.0,-0.11596866666666665,5,1416,-0.006497984752058983,0.002243652,-1.0979097723960876,0.00048828125,0.2,-0.0044701947801513596,10,-64.51943,0.0003,0.08926123098935931
3,12288,1226.0,-0.0726971,9,1286,-0.014044871553778648,0.0029821233,-1.0943635687232018,0.0026611328125,0.2,-0.004973821935709566,20,-13.866873,0.0003,0.015644219145178793
4,16384,1226.0,-0.11073038461538462,13,1239,-0.018604515120387077,0.0041708555,-1.0871614605188369,0.00478515625,0.2,-0.0064353204448707405,30,-12.563383,0.0003,0.010449801775394008
5,20480,1226.0,-0.05691256250000001,16,1213,-0.00997361820191145,0.004413584,-1.079580457508564,0.0048828125,0.2,-0.006146542850183323,40,-9.766305,0.0003,0.00673795745242387
6,24576,1226.0,-0.01593975000000001,20,1206,-0.017479099333286285,0.0049829986,-1.071732324361801,0.0099609375,0.2,-0.007266040195827372,50,-5.411545,0.0003,0.005763804126763717
7,28672,1226.0,0.0438475652173913,24,1181,-0.013987010344862938,0.0048738117,-1.0629200249910356,0.010107421875,0.2,-0.007723340339725837,60,-3.8201613,0.0003,0.004679712495999411
8,32768,1226.0,0.14950846153846153,29,1125,-0.020583482459187508,0.0062964847,-1.0525321394205094,0.0210205078125,0.2,-0.008868144368170761,70,-1.8403177,0.0003,0.004123022357816808
9,36864,1226.0,0.20655826666666666,33,1098,-0.015807365998625755,0.005781614,-1.036632877588272,0.0203125,0.2,-0.008667522956966423,80,-0.68049216,0.0003,0.004325640024035238
10,40960,1226.0,0.28296221212121214,37,1089,-0.015279632061719894,0.005852234,-1.020205694437027,0.01845703125,0.2,-0.007047424672055058,90,-0.2539066,0.0003,0.003511635071481578
11,45056,1226.0,0.35696138888888895,42,1064,-0.018053801730275154,0.007864885,-0.9971556760370731,0.0498046875,0.2,-0.009696492695366033,100,-0.023698568,0.0003,0.003509061163640581
12,49152,1226.0,0.43953332500000003,46,1059,-0.018766561523079872,0.0064158738,-0.9774724371731282,0.032666015625,0.2,-0.008955881843576208,110,0.11447966,0.0003,0.0029934191581560297
13,53248,1226.0,0.4888459534883722,49,1081,-0.01792938821017742,0.0049563083,-0.9582003384828568,0.0180908203125,0.2,-0.007562201085966081,120,0.3723567,0.0003,0.003526061994489282
14,57344,1226.0,0.5290784782608696,52,1100,-0.02212216518819332,0.006270506,-0.9438299678266049,0.0329345703125,0.2,-0.008234051028557588,130,0.4187975,0.0003,0.0026972360210493207
15,61440,1226.0,0.60070926,55,1114,-0.01058791484683752,0.0058720983,-0.9253759659826756,0.02705078125,0.2,-0.00834912410355173,140,0.44788766,0.0003,0.00317140678234864
16,65536,1226.0,0.651212679245283,58,1128,-0.01140139251947403,0.0048979875,-0.9097498245537281,0.0232177734375,0.2,-0.007125506954616867,150,0.5489924,0.0003,0.003443912055809051
17,69632,1226.0,0.7071048750000001,61,1139,-0.016923168674111366,0.006407465,-0.8951881855726243,0.0347900390625,0.2,-0.008323190548981074,160,0.55463517,0.0003,0.0029661326436325906
18,73728,1226.0,0.7680491000000002,64,1147,-0.009333165362477303,0.0058680205,-0.8900811150670052,0.026513671875,0.2,-0.0075403260678285735,170,0.5893923,0.0003,0.003332170975045301
19,77824,1226.0,0.8044943015873017,67,1159,-0.009894534014165401,0.005533948,-0.8745973415672779,0.025244140625,0.2,-0.006801371478650254,180,0.6455065,0.0003,0.003866177547024563
20,81920,1226.0,0.837733893939394,70,1163,-0.021975433453917503,0.0062819887,-0.8582399941980838,0.047021484375,0.2,-0.009004638189799153,190,0.66206783,0.0003,0.0030558173661120237
21,86016,1226.0,0.8861429571428571,73,1169,-0.0055558327585458755,0.005457201,-0.8398517280817032,0.026220703125,0.2,-0.005775439474382438,200,0.67039204,0.0003,0.0032691586151486264
22,90112,1226.0,0.9240752465753425,76,1180,-0.011685961857438087,0.007059957,-0.8213073462247849,0.0443359375,0.2,-0.009383120224811137,210,0.7270862,0.0003,0.0037652934057405218
23,94208,1226.0,0.9681065131578949,78,1193,-0.01534225232899189,0.006608677,-0.8174972452223301,0.0427490234375,0.2,-0.00903240428015124,220,0.72134495,0.0003,0.003032759507186711
24,98304,1226.0,1.013763325,81,1199,-0.018676333129405975,0.005845588,-0.8122237414121628,0.0400634765625,0.2,-0.00805380183737725,230,0.7447692,0.0003,0.004047950345557183
25,102400,1226.0,1.0485296144578313,84,1208,-0.023280784487724304,0.0076690647,-0.7984432078897953,0.060498046875,0.2,-0.010765988731873222,240,0.7667924,0.0003,0.002852725997217931
26,106496,1226.0,1.0788763953488372,87,1214,-0.020659159868955612,0.0070758946,-0.7938403956592083,0.0459716796875,0.2,-0.008620192849775776,250,0.7755426,0.0003,0.0030062930891290307
27,110592,1226.0,1.128263322222222,91,1210,-0.021670766174793243,0.006527953,-0.7720824390649795,0.0398193359375,0.2,-0.0075612260290654374,260,0.8143953,0.0003,0.003234894698834978
28,114688,1226.0,1.162509946236559,94,1212,-0.018277805298566818,0.0067988634,-0.7558587498962879,0.0452880859375,0.2,-0.008507952705258504,270,0.8172358,0.0003,0.0026603378166328183
29,118784,1226.0,1.197010729166667,98,1209,-0.016598885878920555,0.0065415665,-0.7478020377457142,0.044482421875,0.2,-0.007690819579147501,280,0.81826603,0.0003,0.0026106544319191016
30,122880,1226.0,1.2463157,101,1210,-0.008786135353147984,0.006464721,-0.7207450628280639,0.041064453125,0.2,-0.007188849683734589,290,0.8495765,0.0003,0.00293646643840475
31,126976,1226.0,1.32398127,105,1207,-0.010915379971265793,0.006567497,-0.6976393453776837,0.0400634765625,0.2,-0.007578489684965462,300,0.83840895,0.0003,0.0027803166973171755
32,131072,1226.0,1.40740115,108,1207,-0.017496608197689056,0.0063901856,-0.690462476760149,0.0423095703125,0.2,-0.007552547447266989,310,0.84610444,0.0003,0.0027920338819967584
33,135168,1226.0,1.5049092900000003,111,1206,-0.006711455062031746,0.006436402,-0.6719771236181259,0.048095703125,0.2,-0.007994251194759272,320,0.87031424,0.0003,0.003211269617895596
34,139264,1226.0,1.58542909,115,1206,-0.013158876448869705,0.005129153,-0.6685334056615829,0.0369873046875,0.2,-0.006868240679614246,330,0.88083637,0.0003,0.0024805830747936853
