rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/loss
-0.663849,2232.0,6144,1883,1,3,,,,,,,,,,
-0.11288259999999999,2232.0,12288,1766,2,6,0.0001,-45.498447,0.00011307044,0.2666077884534995,0.2,0.0,10,-1.0985702951749166,-0.0007644834365540495,0.0782591700553894
-0.22892362500000002,2232.0,18432,1759,3,10,0.0001,-47.716286,0.00010753682,0.11465103750427565,0.2,0.0,20,-1.0984188934167227,-0.0007837101710416998,0.02909739501774311
-0.347725,2232.0,24576,1762,4,13,0.0001,-28.953918,9.534161e-05,0.05038964301347733,0.2,0.0,30,-1.0982394099235535,-0.000748148523659135,0.007748924195766449
-0.28120130769230767,2232.0,30720,1757,5,17,0.0001,-12.847785,0.000127368,0.029898837395012378,0.2,0.0,40,-1.0980149189631143,-0.0009504969231784344,0.002373085357248783
-0.314056625,2232.0,36864,1758,6,20,0.0001,-9.142255,0.00012676344,0.023027159770329795,0.2,0.0,50,-1.0977421681086221,-0.0009437703876756132,0.0008865846320986748
-0.19829673684210525,2232.0,43008,1750,7,24,0.0001,-10.060135,8.8553636e-05,0.01841668536265691,0.2,0.0,60,-1.0975544850031536,-0.0006738648196915164,-0.0019867029041051865
-0.1604180909090909,2232.0,49152,1750,8,28,0.0001,-10.987311,0.00011953251,0.015795806904012957,0.2,0.0,70,-1.0973650058110556,-0.0008128123163866501,-0.0022104112431406975
-0.20352262499999998,2232.0,55296,1748,9,31,0.0001,-9.568998,0.00013268397,0.01640972583554685,0.2,0.0,80,-1.097062995036443,-0.0009115769411437213,-0.001779906451702118
-0.1822485925925926,2232.0,61440,1751,10,35,0.0001,-8.297878,0.0001221611,0.015512532539044816,0.2,0.0,90,-1.0966368714968364,-0.0007476457821515699,-0.0012196837924420834
-0.14644889999999997,2232.0,67584,1754,11,38,0.0001,-9.107916,0.00020787737,0.013809162083392341,0.2,0.0,100,-1.096226684252421,-0.0013821751830012847,-0.0037618614733219147
-0.13629166666666667,2232.0,73728,1752,12,42,0.0001,-8.968166,0.00016729359,0.011929965624585748,0.2,0.0,110,-1.0959997753302255,-0.0010035108134616166,-0.003841330297291279
-0.1647013142857143,2232.0,79872,1750,13,45,0.0001,-7.5468206,0.00018785667,0.01205534638526539,0.2,0.0,120,-1.0957647760709126,-0.0011441271664807573,-0.004313288722187281
-0.15340547368421054,2232.0,86016,1752,14,49,0.0001,-6.3503094,0.00016985719,0.01196764678073426,0.2,0.0,130,-1.0954166293144225,-0.0010198325093369932,-0.004526345059275627
-0.17399353658536584,2232.0,92160,1750,15,52,0.0001,-5.53494,0.00016709045,0.010847568651661277,0.2,0.0,140,-1.0954609930515289,-0.0010986063454765827,-0.004849920980632305
-0.1838336136363636,2232.0,98304,1752,16,56,0.0001,-6.5516243,0.00021245268,0.009185691876336933,0.2,0.0,150,-1.095436797539393,-0.0012740547303110362,-0.006233420688658953
-0.17525071739130432,2232.0,104448,1752,17,59,0.0001,-5.342814,0.000226283,0.009490457052985827,0.2,0.0,160,-1.0948165675004324,-0.0013465216887804368,-0.007559711113572121
-0.201546,2232.0,110592,1753,18,63,0.0001,-5.522101,0.00025639488,0.008938022431296606,0.2,0.0,170,-1.0941002368927002,-0.0013313909391096483,-0.006767557933926582
-0.21127434615384616,2232.0,116736,1754,19,66,0.0001,-5.020327,0.00022554961,0.008241319136383632,0.2,0.0,180,-1.0932988584041596,-0.0012645553370627264,-0.007375531364232302
-0.224083,2232.0,122880,1754,20,70,0.0001,-4.658538,0.00017074189,0.0076899765136962134,0.2,0.0,190,-1.0932520091533662,-0.0009632948572592189,-0.006143280304968357
-0.20818535087719298,2232.0,129024,1754,21,73,0.0001,-4.4588447,0.0003563663,0.007068578262502948,0.2,0.0,200,-1.092706702152888,-0.0015962355052276205,-0.006944157183170319
-0.20719651666666664,2232.0,135168,1754,22,77,0.0001,-4.302926,0.0002681284,0.007160135894082487,0.2,0.0,210,-1.091211235523224,-0.0012162511004135013,-0.00778475496917963
