#{"t_start": 1760924524.9276488, "env_id": "None"}
r,l,t
-0.098995,1225,2.575101
0.07837,1225,3.324903
-0.323623,1225,4.104359
-0.152273,1225,5.311901
0.249165,1225,6.008061
0.187961,1225,6.637878
0.1337,1225,7.7528
0.065739,1225,8.591319
0.026276,1225,9.338742
-0.319047,1225,10.011703
-0.41682,1225,11.084992
0.259384,1225,11.747573
-0.074789,1225,12.475407
-0.235101,1225,13.56976
-0.087561,1225,14.233983
0.295596,1225,14.873571
-0.185541,1225,15.919508
0.040371,1225,16.642211
0.215724,1225,17.434399
0.456087,1225,18.180811
0.06689,1225,19.246531
-0.140986,1225,19.87239
0.251813,1225,20.561595
0.35688,1225,21.597869
0.407623,1225,22.350055
0.309543,1225,23.059798
-0.084768,1225,24.261567
0.255905,1225,24.903816
-0.070852,1225,25.619769
0.399176,1225,26.277135
-0.217086,1225,27.435118
0.200727,1225,28.09551
0.414237,1225,28.790049
0.396046,1225,29.856605
0.13346,1225,30.631697
0.304789,1225,31.276444
0.376904,1225,32.331816
0.483198,1225,33.00868
0.008105,1225,33.806254
-0.03083,1225,34.481654
0.401869,1225,35.534017
0.151963,1225,36.246633
0.492273,1225,36.866492
0.639156,1225,37.928294
0.917049,1225,38.622338
0.208762,1225,39.33827
0.864626,1225,40.457123
0.719363,1225,41.12128
0.705532,1225,41.778036
0.991105,1225,42.53708
0.814201,1225,43.652866
0.910776,1225,44.390061
1.297898,1225,45.10609
0.763048,1225,46.184203
0.626988,1225,46.809333
0.82283,1225,47.49732
1.428951,1225,48.543035
1.411952,1225,49.308901
0.86404,1225,49.965127
0.898101,1225,50.615752
1.049297,1225,51.730994
1.367723,1225,52.414788
1.471687,1225,53.05995
1.545068,1225,54.090871
1.269585,1225,54.8094
1.200094,1225,55.57925
1.20358,1225,56.804425
0.918688,1225,57.504571
1.42219,1225,58.144394
1.520832,1225,58.840649
1.278281,1225,60.077587
1.53974,1225,60.902119
1.395811,1225,61.602985
1.288037,1225,62.7
1.481058,1225,63.364539
1.687134,1225,64.060178
1.566331,1225,65.211163
1.432127,1225,65.9191
1.940556,1225,66.575809
2.081061,1225,67.39593
1.90006,1225,68.508548
1.586492,1225,69.22276
1.385148,1225,70.143139
1.902034,1225,71.449957
1.927399,1225,72.222097
2.092259,1225,72.955134
2.068763,1225,74.198203
1.515713,1225,74.866313
1.668771,1225,75.674481
1.88555,1225,76.43464
2.075332,1225,77.857492
2.120005,1225,78.707306
1.974194,1225,79.429974
2.15968,1225,80.531976
1.902538,1225,81.193949
1.992716,1225,81.934061
2.362407,1225,83.112453
2.169202,1225,83.935207
2.087019,1225,84.789815
2.134592,1225,85.569535
2.354155,1225,86.765335
2.268832,1225,87.414963
2.528206,1225,88.115329
2.241706,1225,89.225266
2.411554,1225,89.97948
2.4305,1225,90.672582
2.320505,1225,91.789986
2.307476,1225,92.607798
2.494937,1225,93.349293
2.422165,1225,94.050244
2.596757,1225,95.243293
2.025797,1225,96.016249
2.506756,1225,96.789239
2.433968,1225,97.927068
2.359219,1225,98.657572
2.418669,1225,99.384936
2.161557,1225,100.223044
2.454051,1225,101.36438
2.674209,1225,102.04097
2.653086,1225,102.88182
3.070537,1225,104.015964
2.36159,1225,104.789049
2.644036,1225,105.558487
2.671933,1225,106.634815
2.666354,1225,107.359963
2.893569,1225,108.152944
2.529356,1225,108.855641
2.580042,1225,110.063199
2.811373,1225,110.794244
2.696829,1225,111.582891
2.808772,1225,112.899457
2.749785,1225,113.714765
2.899326,1225,114.617274
2.903551,1225,115.951298
2.92793,1225,116.901708
2.693523,1225,117.700818
3.180153,1225,118.510175
3.012893,1225,119.833673
2.973592,1225,120.715032
3.155687,1225,121.685137
3.064496,1225,123.059068
2.743256,1225,123.931193
3.004777,1225,124.777735
2.865485,1225,126.093311
3.358826,1225,126.863165
2.791578,1225,127.857211
3.229332,1225,128.679412
3.192386,1225,129.913225
3.170234,1225,130.747245
3.094521,1225,131.615655
3.413523,1225,132.925353
3.3378,1225,133.838151
3.030305,1225,134.666786
3.198079,1225,135.983559
3.419097,1225,136.857468
3.508889,1225,137.651441
3.333232,1225,138.555078
3.398772,1225,139.95366
3.184466,1225,140.935896
3.493519,1225,141.920793
3.4051,1225,143.304781
3.484905,1225,144.289606
3.553028,1225,145.293186
3.295448,1225,146.774609
3.600481,1225,147.583879
3.654899,1225,148.418118
3.520362,1225,149.244065
3.481356,1225,150.670222
3.512124,1225,151.411023
3.399639,1225,152.199213
3.750925,1225,153.695405
3.640445,1225,154.613402
3.342901,1225,155.424183
3.500917,1225,156.712757
3.490921,1225,157.551366
3.862022,1225,158.498965
3.488837,1225,159.349632
3.567686,1225,160.500179
3.528316,1225,161.271938
3.838159,1225,162.164165
3.744757,1225,163.501988
3.864338,1225,164.474085
3.603765,1225,165.427185
3.721582,1225,166.841618
3.757584,1225,167.704605
3.843211,1225,168.475602
3.362421,1225,169.340224
3.996528,1225,170.758419
3.856415,1225,171.542108
3.668733,1225,172.37384
3.978769,1225,173.730917
4.011759,1225,174.627538
3.867678,1225,175.5289
4.103938,1225,176.664084
4.083068,1225,177.357857
3.991159,1225,177.981946
4.07674,1225,178.857458
4.054409,1225,180.363904
4.034495,1225,181.280412
4.080069,1225,182.139558
4.240693,1225,183.502855
4.042085,1225,184.449721
4.203388,1225,185.465878
4.277564,1225,186.8111
4.141152,1225,187.741278
4.16088,1225,188.636243
4.305847,1225,189.635272
4.333551,1225,190.942276
4.360547,1225,191.838326
4.116045,1225,192.755121
4.170858,1225,194.167619
4.140518,1225,194.942428
4.070301,1225,195.762907
4.398822,1225,197.276937
4.356833,1225,198.189073
4.290052,1225,199.004797
4.347719,1225,199.824444
4.423463,1225,201.216178
4.41719,1225,202.207368
4.512296,1225,203.485379
4.465738,1225,204.867946
4.609075,1225,205.786213
4.347063,1225,206.683578
4.527158,1225,207.549079
4.451127,1225,209.087343
4.536484,1225,209.97821
4.33185,1225,210.812158
4.548506,1225,212.151759
4.529391,1225,213.090472
4.63535,1225,213.907433
4.415227,1225,215.139723
4.528358,1225,216.007168
4.697214,1225,216.858518
4.492004,1225,217.826889
4.751624,1225,219.215174
4.55511,1225,220.042239
4.771709,1225,220.857387
4.657175,1225,222.180211
4.836707,1225,223.111649
4.748236,1225,223.929128
4.806428,1225,225.346547
4.816986,1225,226.135156
4.700346,1225,226.924015
