train_start,train_end,test_start,test_end,sharpe,max_drawdown,train_rows,test_rows
2006,2014,2015,2015,0.6480068181555697,0.08977934920372224,2265,252
2015,2023,2024,2024,1.3489228409595955,0.041321053875167525,2264,252
2008,2016,2017,2017,1.8712936751192752,0.022659717319017385,2267,251
