ts,open,high,low,close,volume
1388620800,150.29220599037075,150.36573594875676,149.06686457162533,149.42630004882812,119636900.0
1388707200,149.67948963588822,149.98174890308,149.18936069674652,149.40174865722656,81390600.0
1388966400,149.8919207254851,149.94909683758237,148.74009691592389,148.9688262939453,108028200.0
1389052800,149.56513982258,150.13696320743608,149.4507751456088,149.88372802734375,86144200.0
1389139200,149.85925428795588,150.16967810540697,149.40179548212328,149.91644287109375,96582300.0
1389225600,150.39842193930195,150.41476331674042,149.32829231623052,150.0144805908203,90683400.0
1389312000,150.26763971751848,150.48820457432447,149.4997574095967,150.4228515625,102026400.0
1389571200,150.03894038544468,150.4555518961481,148.13557560451824,148.42149353027344,149892000.0
1389657600,148.91159227528922,150.12060429282278,148.6338513245636,150.03890991210938,105016100.0
1389744000,150.39024322002592,151.07643142953782,150.0716549466941,150.8477020263672,98525800.0
1389830400,150.53723140330905,150.8476551245879,150.16963158142363,150.65159606933594,72290600.0
1389916800,150.39025748299213,150.67616303166182,149.75308087589892,150.0144805908203,107848700.0
1390262400,150.88033957467013,150.93752814546258,149.5324692795371,150.45555114746094,88621200.0
1390348800,150.70883129345788,150.77418433210818,150.23503111185642,150.55361938476562,61270900.0
1390435200,149.79389905170518,149.81840488274258,148.52772289871487,149.32009887695312,132496900.0
1390521600,148.34800527764287,148.39701693975616,146.0852046464805,146.13421630859375,208677100.0
1390780800,146.27305501552237,146.6488317846636,144.68827847296038,145.41531372070312,180843100.0
1390867200,145.5215167347122,146.46911689697978,145.50517536231038,146.28123474121094,110463200.0
1390953600,145.06407235988053,145.85646072466452,144.49224891746323,144.87619018554688,216597300.0
1391040000,146.0851583902381,146.88571103584255,145.61952281796562,146.4119110107422,118938100.0
1391126400,144.5984345225525,146.46095225844752,144.52491703780254,145.55419921875,194677900.0
1391385600,145.38262683094513,145.70937944648918,142.00068615432966,142.27842712402344,254837100.0
1391472000,142.91560431468966,143.6426394837668,142.22941633900606,143.27503967285156,165012400.0
1391558400,142.77674871607556,143.41392511204944,141.90267851741993,143.0953369140625,164230500.0
1391644800,143.4302066597786,144.9822998046875,143.13612441008107,144.9822998046875,132877600.0
1391731200,145.6604302570444,146.9347834548231,145.18663003597976,146.77957153320312,170787200.0
1391990400,146.795867606006,147.09812689975735,146.39559747359044,147.04910278320312,92218800.0
1392076800,147.1716454361448,149.03416300453276,147.07360966714575,148.65838623046875,117814100.0
1392163200,148.87895329337402,149.35275337850797,148.4378359533197,148.73191833496094,94717700.0
1392249600,147.72718796792932,149.65505935053224,147.71902351084074,149.49984741210938,100542200.0
1392336000,149.36096355759983,150.60264648963667,149.22209301053542,150.3249053955078,96498400.0
1392681600,150.45555351891755,150.70880116737086,150.02260063112027,150.50457763671875,80460900.0
1392768000,150.1124587582198,151.0845647537994,149.38542349120212,149.50796508789062,126524300.0
1392854400,149.7122349648942,150.733352929337,149.16491723173115,150.3902587890625,104998100.0
1392940800,150.67608654720414,151.0355218794851,150.1451104657607,150.2186279296875,118116400.0
1393200000,150.5372630626279,152.06485123685522,150.47191003046623,151.05191040039062,114063900.0
1393286400,151.1744381796014,151.60739110704705,150.4964144999674,150.99472045898438,117085000.0
1393372800,151.21531773693775,151.61560046665164,150.57814112380558,151.0029296875,98677200.0
1393459200,150.7823347781994,151.83612282458452,150.61078150957945,151.7952880859375,93880800.0
