time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
14,57344,1225.0,0.013701739130434782,41,1382,-0.01836490072309971,0.0069452506,-0.9896316483616829,0.0357177734375,0.2,-0.00988944852288114,130,-1.6994822,0.0003,0.0016532814013771712
15,61440,1225.0,0.047712979999999995,44,1381,-0.018272388726472855,0.00749557,-0.9769934900105,0.040576171875,0.2,-0.010315766459098086,140,-1.1501868,0.0003,0.0015686759870732203
16,65536,1225.0,0.07539203773584904,46,1396,-0.022483138367533684,0.007987314,-0.9547419294714927,0.044140625,0.2,-0.009864011756144464,150,-1.1254897,0.0003,0.0012858926653279922
17,69632,1225.0,0.07153044642857143,49,1405,-0.02338709495961666,0.0074362773,-0.936233390122652,0.04306640625,0.2,-0.010344237342360429,160,-0.7268522,0.0003,0.0011663324024993927
18,73728,1225.0,0.09471873333333333,52,1410,-0.022573351860046387,0.007513143,-0.9178411051630974,0.045556640625,0.2,-0.010738582548219711,170,-1.2178133,0.0003,0.0010686120818718336
19,77824,1225.0,0.1189455873015873,54,1417,-0.022668883204460144,0.007397199,-0.8884296000003815,0.0393798828125,0.2,-0.009866650006733835,180,-0.846755,0.0003,0.0010193558482569642
20,81920,1225.0,0.15361719696969695,57,1421,-0.020179204642772675,0.0068010297,-0.8667644999921322,0.0447509765625,0.2,-0.010325806541368365,190,-0.2122314,0.0003,0.0009283848397899419
21,86016,1225.0,0.20198359999999999,60,1423,-0.012824855744838715,0.0063200807,-0.8599183015525341,0.0396728515625,0.2,-0.008880533419142012,200,-0.13172495,0.0003,0.0008682750616571866
22,90112,1225.0,0.23092769863013698,63,1425,-0.015569201670587063,0.0061359648,-0.8426626868546009,0.0446044921875,0.2,-0.009908697356149788,210,0.10170579,0.0003,0.0008588056087319273
23,94208,1225.0,0.2529812763157895,65,1428,-0.018636543303728104,0.007920959,-0.8173871219158173,0.0617431640625,0.2,-0.01150817325396929,220,0.24900329,0.0003,0.0008766093007579912
24,98304,1225.0,0.2951774875,68,1431,-0.03254737704992294,0.006109921,-0.8130948178470134,0.045849609375,0.2,-0.011392440751660616,230,0.2004981,0.0003,0.0007672083069337532
25,102400,1225.0,0.3228994578313253,71,1437,-0.019956501200795174,0.0057243276,-0.791556341201067,0.039501953125,0.2,-0.009908386270399205,240,0.32614768,0.0003,0.0007387681223917752
26,106496,1225.0,0.3478748255813953,73,1440,-0.02521318942308426,0.007482963,-0.7614365480840206,0.061474609375,0.2,-0.012286349225905723,250,0.38653785,0.0003,0.0007231087271065917
27,110592,1225.0,0.3925699000000001,76,1443,-0.015875419601798058,0.0056863884,-0.7534122735261917,0.043212890625,0.2,-0.009892501172726043,260,0.45302767,0.0003,0.0007007273663475644
28,114688,1225.0,0.42770882795698933,79,1447,-0.021698208525776863,0.006170403,-0.7332351334393025,0.0465087890625,0.2,-0.010935847806103993,270,0.49251455,0.0003,0.0007367853744653985
29,118784,1225.0,0.46033442708333333,81,1449,-0.013278319500386715,0.005038007,-0.7215322084724903,0.036865234375,0.2,-0.00982864061370492,280,0.5768633,0.0003,0.0007017524505499751
30,122880,1225.0,0.5039837,84,1451,-0.0281166210770607,0.0061337855,-0.7139126971364022,0.0536865234375,0.2,-0.011309588530275505,290,0.57734406,0.0003,0.0007342230455833487
31,126976,1225.0,0.55640592,87,1455,-0.020416922867298126,0.0051080836,-0.7019042916595936,0.045166015625,0.2,-0.00990964162920136,300,0.639286,0.0003,0.0006888648313179146
32,131072,1225.0,0.6183276499999999,90,1443,-0.015199840068817139,0.0057833306,-0.6940531007945537,0.0515625,0.2,-0.010814909286273178,310,0.68282044,0.0003,0.0006904456779011526
33,135168,1225.0,0.6995084699999999,94,1433,-0.01649324782192707,0.006302391,-0.689192134141922,0.052685546875,0.2,-0.01138192721118685,320,0.69170344,0.0003,0.0007365043093159329
34,139264,1225.0,0.7623816199999999,97,1432,-0.016298383474349976,0.0048187654,-0.6687957637012005,0.0426025390625,0.2,-0.009483809725497849,330,0.7520356,0.0003,0.0006248701523873023
35,143360,1225.0,0.8394575299999998,100,1431,-0.02398478239774704,0.006200852,-0.6515800431370735,0.052685546875,0.2,-0.011031288088997827,340,0.7797944,0.0003,0.0005870457520359196
36,147456,1225.0,0.8948641900000002,103,1431,-0.016942445188760757,0.004653396,-0.6470853470265865,0.03701171875,0.2,-0.00866545831086114,350,0.77741235,0.0003,0.000687252645730041
37,151552,1225.0,0.9587911100000001,105,1435,-0.02145598642528057,0.0048386957,-0.6305337056517601,0.048095703125,0.2,-0.01088266357255634,360,0.80328715,0.0003,0.0006654346419963985
38,155648,1225.0,1.0441652499999998,109,1426,-0.020733503624796867,0.0049774125,-0.6180961459875107,0.0391357421875,0.2,-0.010026137350359931,370,0.79972124,0.0003,0.0006955847245990298
39,159744,1225.0,1.10788506,112,1425,-0.023002857342362404,0.0070033837,-0.6009922742843627,0.062353515625,0.2,-0.01271458697738126,380,0.82466394,0.0003,0.0005933721899054944
40,163840,1225.0,1.1752150399999999,115,1424,-0.02216937765479088,0.0047119064,-0.5766094148159027,0.0439697265625,0.2,-0.010769532452104612,390,0.8460579,0.0003,0.0005870600609341637
41,167936,1225.0,1.2634923799999997,117,1425,-0.02144724130630493,0.0055224765,-0.5765450395643711,0.0555419921875,0.2,-0.012266593171807472,400,0.8419319,0.0003,0.0006032027915352956
42,172032,1225.0,1.32420925,120,1424,-0.019228119403123856,0.006001829,-0.5611358396708965,0.0548828125,0.2,-0.011988671333529054,410,0.8493465,0.0003,0.0006019476051733364
43,176128,1225.0,1.3918902800000001,123,1423,-0.0187989454716444,0.0047872122,-0.5310729660093785,0.0444580078125,0.2,-0.01074223624309525,420,0.88022697,0.0003,0.0005379277328756871
44,180224,1225.0,1.48576077,126,1424,-0.02321390062570572,0.005709799,-0.5416384734213352,0.0542236328125,0.2,-0.011150346565409563,430,0.8844932,0.0003,0.00048097325998242013
45,184320,1225.0,1.55576333,128,1430,-0.01882159151136875,0.0054591787,-0.5249035399407148,0.0507080078125,0.2,-0.009149024772341363,440,0.8943768,0.0003,0.0004905131223495119
46,188416,1225.0,1.6209963100000002,131,1432,-0.01672249473631382,0.005321225,-0.4992994602769613,0.043994140625,0.2,-0.01086868702841457,450,0.90507704,0.0003,0.0005259343979560072
47,192512,1225.0,1.7299825300000002,134,1433,-0.013147804886102676,0.0054783584,-0.5014028534293175,0.0524658203125,0.2,-0.01093676477612462,460,0.8967818,0.0003,0.0005675293807144044
48,196608,1225.0,1.8037569800000002,137,1433,-0.023013006895780563,0.0047423346,-0.4746126517653465,0.0469970703125,0.2,-0.010042884747963398,470,0.91577077,0.0003,0.00048068447031255344
49,200704,1225.0,1.8688897199999999,140,1433,-0.025107454508543015,0.004728712,-0.4615673903375864,0.0412109375,0.2,-0.01069143413042184,480,0.9336206,0.0003,0.00043084384342364503
50,204800,1225.0,1.9548889600000001,143,1431,-0.013456599786877632,0.0054752287,-0.47727255038917066,0.04599609375,0.2,-0.010680908634094521,490,0.9229907,0.0003,0.0004915479483315721
51,208896,1225.0,2.01474736,146,1424,-0.016888070851564407,0.003970944,-0.4628937315195799,0.03671875,0.2,-0.008786913056974299,500,0.9390171,0.0003,0.0003875412050547311
52,212992,1225.0,2.07805907,151,1407,-0.014090199954807758,0.004830572,-0.44850963093340396,0.0518310546875,0.2,-0.011148533527739346,510,0.9412579,0.0003,0.00043719198220060207
53,217088,1225.0,2.1670599800000003,155,1399,-0.023079710081219673,0.0050644893,-0.4596570488065481,0.0508056640625,0.2,-0.010413677059113979,520,0.9398891,0.0003,0.0004111554146220442
54,221184,1225.0,2.2302123999999997,159,1387,-0.02078142948448658,0.004533354,-0.44692714512348175,0.04384765625,0.2,-0.010603125210036524,530,0.9473609,0.0003,0.0003460722873569466
55,225280,1225.0,2.29523935,163,1380,-0.019688334316015244,0.004862466,-0.43795026279985905,0.0442626953125,0.2,-0.011051664670230821,540,0.9581079,0.0003,0.00033440213883295655
56,229376,1225.0,2.3804928499999995,165,1384,-0.01569410227239132,0.0061467392,-0.44827135615050795,0.064794921875,0.2,-0.01289356774504995,550,0.95208085,0.0003,0.0003545424777257722
57,233472,1225.0,2.43505671,168,1382,-0.018925433978438377,0.003733893,-0.4342734456062317,0.0419677734375,0.2,-0.010822774251573719,560,0.95954806,0.0003,0.00029226390033727513
58,237568,1225.0,2.48858628,172,1380,-0.020717205479741096,0.0040445137,-0.42048739045858385,0.0418212890625,0.2,-0.0098379279486835,570,0.9637424,0.0003,0.0003087416442212998
59,241664,1225.0,2.56612086,175,1376,-0.012846763245761395,0.0040142117,-0.4277528874576092,0.0441162109375,0.2,-0.01021222424460575,580,0.96741444,0.0003,0.000272452677381807
60,245760,1225.0,2.62069847,179,1372,-0.02181592583656311,0.0044105565,-0.410794447734952,0.044482421875,0.2,-0.010532478714594617,590,0.9699442,0.0003,0.0002482408053765539
61,249856,1225.0,2.6751168099999996,182,1368,-0.014955875463783741,0.0042430954,-0.4118073858320713,0.0373046875,0.2,-0.009990574227413163,600,0.9707651,0.0003,0.00026465364771866007
62,253952,1225.0,2.7567522299999996,186,1364,-0.014424693770706654,0.00400942,-0.41498205438256264,0.043359375,0.2,-0.01070915161690209,610,0.96778077,0.0003,0.0002760598363238387
63,258048,1225.0,2.8096015799999994,189,1358,-0.014013940468430519,0.0040214574,-0.3988684114068747,0.0447265625,0.2,-0.01142861716070911,620,0.9765398,0.0003,0.0002117959347742726
64,262144,1225.0,2.86610623,193,1355,-0.02189074270427227,0.004066715,-0.39838837236166,0.04091796875,0.2,-0.011204103902855422,630,0.97943026,0.0003,0.0001970147999600158
