#{"t_start": 1760924990.5737855, "env_id": "None"}
r,l,t
-0.163809,1225,0.862993
0.220962,1225,1.582814
-0.214826,1225,2.250121
-0.11681,1225,3.356084
-0.785019,1225,4.097448
-0.577527,1225,4.88868
0.075394,1225,6.143742
-0.107025,1225,6.899973
-0.3102,1225,7.615494
-0.047376,1225,8.286678
0.305058,1225,9.412687
-0.276638,1225,10.085586
-0.017581,1225,10.725781
-0.070157,1225,11.788295
-0.355075,1225,12.522192
-0.663361,1225,13.287206
0.197137,1225,14.389477
0.086845,1225,15.118365
0.166004,1225,15.742225
-0.314514,1225,16.397879
-0.428885,1225,17.428252
-0.044089,1225,18.096432
-0.526615,1225,18.772807
0.046236,1225,19.865427
-0.003416,1225,20.506532
-0.099616,1225,21.225212
-0.28022,1225,22.231703
-0.058201,1225,22.986792
0.070007,1225,23.694758
0.325759,1225,24.350952
-0.00538,1225,25.611653
0.363394,1225,26.275559
-0.354483,1225,27.010262
0.061573,1225,28.201822
0.09227,1225,28.932658
0.00189,1225,29.762766
0.241189,1225,30.990271
-0.134184,1225,31.975218
0.098374,1225,32.677667
0.519682,1225,33.378304
0.365912,1225,34.49326
0.356588,1225,35.267366
0.574832,1225,36.061573
0.678063,1225,37.163556
0.426481,1225,37.954062
0.735006,1225,38.841921
0.402877,1225,40.042855
0.709903,1225,40.780311
0.825525,1225,41.492059
0.781428,1225,42.222911
0.6022,1225,43.300585
0.464765,1225,44.023607
1.120792,1225,44.696686
0.965015,1225,45.819988
0.581044,1225,46.523232
0.733697,1225,47.21039
1.129651,1225,48.310371
0.693241,1225,48.991157
0.924475,1225,49.663074
0.907541,1225,50.399467
0.927324,1225,51.527157
0.739927,1225,52.211141
0.99486,1225,52.852006
0.675435,1225,53.9598
0.872456,1225,54.711478
1.27165,1225,55.444832
0.738438,1225,56.577842
1.148473,1225,57.304081
1.537471,1225,58.130331
1.189229,1225,59.01105
1.078583,1225,60.229382
1.204025,1225,60.974835
1.221765,1225,61.753548
1.456222,1225,62.938496
1.470057,1225,63.62776
1.158034,1225,64.335396
1.081028,1225,65.494487
1.702242,1225,66.269273
1.574661,1225,67.049407
1.22374,1225,67.78792
1.406368,1225,68.912876
1.27215,1225,69.694191
1.383668,1225,70.412929
1.639483,1225,71.631021
1.795969,1225,72.300273
1.995878,1225,72.978095
1.812952,1225,74.086175
1.823841,1225,74.853487
1.989436,1225,75.581086
1.608896,1225,76.369422
1.94157,1225,77.599011
1.496923,1225,78.289061
1.92943,1225,79.063216
2.165281,1225,80.240805
1.942248,1225,80.990483
1.942976,1225,81.725473
1.958113,1225,83.01944
2.159752,1225,83.913601
1.771409,1225,84.834478
2.173124,1225,85.687759
2.268192,1225,87.238357
2.282465,1225,88.042269
2.067038,1225,88.897354
2.092983,1225,90.265059
2.329748,1225,91.091107
2.123507,1225,91.821023
2.529256,1225,93.143009
2.430765,1225,94.160018
2.10528,1225,95.107091
2.310532,1225,96.122015
2.738539,1225,97.544199
2.208653,1225,98.448752
2.271926,1225,99.313715
2.425734,1225,100.639884
2.296976,1225,101.484893
1.958336,1225,102.312543
2.382992,1225,103.147763
2.764365,1225,104.34069
2.464143,1225,105.177616
2.255213,1225,106.024023
2.357481,1225,107.298763
2.479989,1225,108.256402
2.792637,1225,108.975104
2.67578,1225,110.246012
2.455695,1225,110.943964
2.810307,1225,111.626525
2.481077,1225,112.39674
2.932092,1225,113.593431
2.584261,1225,114.238726
2.554056,1225,115.020982
2.592563,1225,116.160222
2.877744,1225,116.943116
2.689724,1225,117.709542
2.697139,1225,118.958457
2.677506,1225,119.889026
3.058904,1225,120.686011
2.477605,1225,121.459964
2.730369,1225,122.681326
2.803515,1225,123.418219
2.840119,1225,124.287668
2.702179,1225,125.521611
2.786017,1225,126.329019
2.865563,1225,127.006196
3.11106,1225,128.505783
2.939146,1225,129.65398
2.962052,1225,130.526726
3.112727,1225,131.77419
3.326473,1225,133.683783
2.717282,1225,134.799763
3.087951,1225,135.834592
3.106461,1225,137.421563
2.86119,1225,138.535172
3.086161,1225,139.228726
3.213054,1225,140.351882
3.129791,1225,141.235034
3.12931,1225,142.351059
3.311141,1225,143.328845
2.971491,1225,144.710387
3.144182,1225,145.600915
3.208737,1225,146.563013
3.110711,1225,148.034325
3.203121,1225,148.918695
3.188665,1225,149.735047
3.260382,1225,151.112207
3.18497,1225,151.920769
2.998639,1225,152.657706
3.067076,1225,153.473092
3.19825,1225,154.807408
3.412772,1225,155.627836
3.361291,1225,156.431058
3.160245,1225,157.681066
3.415134,1225,158.607812
3.166352,1225,159.378949
3.185401,1225,160.677019
3.491955,1225,161.498847
3.364077,1225,162.262536
3.257361,1225,163.06547
3.333835,1225,164.326022
3.683509,1225,165.148695
3.535719,1225,165.967052
3.669894,1225,167.211997
3.562049,1225,168.050732
3.54595,1225,168.88624
3.521371,1225,170.070987
3.64147,1225,170.886563
3.603414,1225,171.735648
3.611175,1225,172.472485
3.809101,1225,173.696543
3.810241,1225,174.60306
3.751679,1225,175.423805
3.563075,1225,176.761074
3.848318,1225,177.538602
3.614423,1225,178.289825
3.62377,1225,179.600947
3.771342,1225,180.483069
3.83908,1225,181.289845
3.582934,1225,182.053732
3.959665,1225,183.264539
3.86417,1225,184.036016
3.962242,1225,184.828706
3.76613,1225,185.986873
3.658188,1225,186.836354
3.976029,1225,187.640586
3.729968,1225,188.869333
3.853841,1225,189.661621
4.111037,1225,190.466918
4.068245,1225,191.310673
4.169567,1225,192.530355
3.880861,1225,193.368829
4.124515,1225,194.157437
3.946961,1225,195.340932
4.273363,1225,196.116978
4.22779,1225,196.949734
3.980699,1225,198.194195
4.214055,1225,199.042878
4.24877,1225,199.793918
4.285576,1225,200.728883
4.32683,1225,201.99892
4.352431,1225,202.790376
4.224081,1225,203.579799
4.429452,1225,204.790469
4.436315,1225,205.627482
4.414701,1225,206.461368
4.277088,1225,207.353969
4.512673,1225,208.598638
4.261758,1225,209.416813
4.55712,1225,210.17079
4.593758,1225,211.383103
4.378429,1225,212.226832
4.431066,1225,213.170138
4.410976,1225,214.426561
4.383045,1225,215.270731
4.479666,1225,216.08265
4.371892,1225,216.872531
4.594775,1225,218.068807
4.443509,1225,218.965704
4.45461,1225,219.786698
4.616419,1225,221.002633
4.742604,1225,221.764054
4.690286,1225,222.627512
4.806427,1225,223.876311
4.709343,1225,224.701566
4.593306,1225,225.517367
4.490813,1225,226.310945
4.714129,1225,227.476236
4.601006,1225,228.26463
4.678418,1225,229.057184
4.671605,1225,230.240848
4.703237,1225,231.121395
4.711151,1225,231.936529
4.842738,1225,233.152493
4.962616,1225,233.966091
4.788117,1225,234.764785
4.78933,1225,235.517581
4.771219,1225,236.748932
5.103831,1225,237.495234
4.775405,1225,238.270026
4.895704,1225,239.525297
4.875154,1225,240.339227
5.020409,1225,241.101173
4.928765,1225,242.354155
4.974377,1225,243.120324
5.058666,1225,243.9316
5.100369,1225,244.875888
4.966449,1225,246.249285
4.934309,1225,247.070418
5.086216,1225,247.795139
5.239993,1225,249.026152
5.229177,1225,249.905953
5.159134,1225,250.734725
5.170414,1225,251.98596
5.239939,1225,252.720423
5.045877,1225,253.508787
5.173744,1225,254.296029
5.364613,1225,255.511007
5.129105,1225,256.231953
5.26065,1225,257.02665
5.310518,1225,258.267782
5.391771,1225,259.091259
5.272056,1225,259.924232
5.160927,1225,261.167055
5.484162,1225,261.960226
5.544881,1225,262.706075
5.279925,1225,263.519959
5.349547,1225,264.783043
5.351222,1225,265.620443
5.415903,1225,266.375676
5.278802,1225,267.571009
5.255227,1225,268.362577
5.401631,1225,269.177267
5.237369,1225,270.438896
5.436359,1225,271.23981
5.211631,1225,272.069858
5.588127,1225,272.897275
