time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1225.0,-0.11474933333333333,2,1523,,,,,,,,,,
2,8192,1225.0,-0.009899166666666667,5,1501,-0.0023817308247089386,0.0029522306,-1.0977095618844033,0.001416015625,0.2,-0.004719195843790658,10,-10.2358465,0.0003,0.07516053481958807
3,12288,1225.0,-0.015272699999999997,8,1465,-0.00788851734250784,0.0033817454,-1.0924170926213264,0.0017822265625,0.2,-0.004963033625972457,20,-9.526292,0.0003,0.01971000519115478
4,16384,1225.0,-0.029611692307692308,11,1475,-0.014130130410194397,0.0032964828,-1.087328015267849,0.0022705078125,0.2,-0.005668827047338709,30,-9.560387,0.0003,0.01230778725584969
5,20480,1225.0,-0.025751125,13,1497,-0.017269674688577652,0.004682062,-1.083180409669876,0.0079345703125,0.2,-0.00714151119464077,40,-7.1561766,0.0003,0.0091472783125937
6,24576,1225.0,0.005731150000000007,16,1483,-0.02028769813477993,0.0057057086,-1.0738826990127563,0.011279296875,0.2,-0.007537622418021783,50,-6.4640727,0.0003,0.006727376068010926
7,28672,1225.0,0.012710434782608703,19,1498,-0.016652848571538925,0.00576227,-1.0665494084358216,0.01279296875,0.2,-0.007504131647874601,60,-6.7989516,0.0003,0.005004651698982343
8,32768,1225.0,0.052553307692307705,21,1490,-0.013961246237158775,0.0067658676,-1.058848488330841,0.021630859375,0.2,-0.008535383257549257,70,-3.8446484,0.0003,0.004146321502048522
9,36864,1225.0,0.06219490000000002,24,1492,-0.017343880608677864,0.007178953,-1.0468483030796052,0.0253662109375,0.2,-0.009376866806996986,80,-4.0295277,0.0003,0.0034786513744620605
10,40960,1225.0,0.06859772727272728,27,1493,-0.011652921326458454,0.0060193646,-1.0430354073643684,0.022119140625,0.2,-0.007857976196100935,90,-2.8127794,0.0003,0.002844872244168073
11,45056,1225.0,0.08605611111111112,30,1495,-0.022032510489225388,0.00848935,-1.0290192008018493,0.0411865234375,0.2,-0.010613947961246595,100,-1.4956591,0.0003,0.0026058644987642767
12,49152,1225.0,0.09838492500000001,32,1492,-0.021040717139840126,0.00737929,-1.0196562930941582,0.036669921875,0.2,-0.009962230653036386,110,-1.5343683,0.0003,0.002167740841105115
13,53248,1225.0,0.11584888372093025,35,1500,-0.02838822826743126,0.007599063,-1.0060178257524968,0.038134765625,0.2,-0.0098989691818133,120,-1.1262555,0.0003,0.0018555143557023256
14,57344,1225.0,0.14666236956521742,38,1498,-0.02462310716509819,0.006648875,-0.9921214520931244,0.0284423828125,0.2,-0.009492688905447721,130,-0.5616298,0.0003,0.0017223457078216597
