#{"t_start": 1760927297.3571818, "env_id": "None"}
r,l,t
-0.153123,1226,0.78419
-0.013327,1226,1.451641
-0.226063,1226,2.203476
-0.365109,1226,3.310173
-0.393452,1226,4.105555
0.455262,1226,5.050857
0.116389,1226,6.446691
0.046872,1226,7.492412
-0.215307,1226,8.468915
0.020887,1226,9.485939
-0.301277,1226,10.874554
-0.18187,1226,11.796089
-0.229377,1226,12.800804
0.254203,1226,14.203116
0.20921,1226,15.194854
0.065481,1226,16.158882
0.04277,1226,17.52461
-0.036958,1226,18.441997
0.129066,1226,19.34878
0.456928,1226,20.282404
0.103192,1226,21.68184
0.393093,1226,22.651201
0.831004,1226,23.763627
0.863411,1226,25.533582
0.943702,1226,26.897351
1.071613,1226,28.150111
0.061109,1226,29.955076
0.790143,1226,31.18268
0.798137,1226,32.330426
0.660139,1226,33.444782
1.024479,1226,34.993727
1.06986,1226,35.977556
1.046666,1226,36.985366
1.158885,1226,38.849921
1.479685,1226,40.106713
0.874287,1226,41.270778
1.538721,1226,43.000449
0.782071,1226,44.221502
1.294767,1226,45.429924
1.115164,1226,46.291708
0.938394,1226,47.47399
1.308883,1226,48.1272
1.191766,1226,48.928811
0.894046,1226,50.124688
1.307298,1226,50.805035
1.11589,1226,51.580431
1.092595,1226,52.669977
1.77035,1226,53.29566
1.697272,1226,54.219687
1.137636,1226,55.019816
1.564458,1226,56.318412
1.854956,1226,56.973897
1.059395,1226,57.713474
1.702122,1226,58.886735
1.644893,1226,59.671875
1.736586,1226,60.465137
1.855382,1226,61.718069
1.905267,1226,62.521133
1.281147,1226,63.289117
1.443277,1226,64.125339
1.57561,1226,65.406033
1.717761,1226,66.10377
1.306824,1226,66.751312
1.636395,1226,67.964542
1.778112,1226,68.740662
1.192789,1226,69.653254
1.29372,1226,70.935111
1.944314,1226,71.680416
1.853897,1226,72.589565
1.647639,1226,73.445296
1.597272,1226,74.535551
1.800787,1226,75.281549
2.029427,1226,75.998385
1.726376,1226,77.110447
2.118846,1226,77.758471
2.27338,1226,78.403295
1.719188,1226,79.484108
1.666019,1226,80.207277
1.931668,1226,80.998418
2.208096,1226,81.752138
1.916113,1226,82.889337
1.896931,1226,83.614196
2.113848,1226,84.348241
1.587653,1226,85.472252
2.555413,1226,86.278574
1.612346,1226,87.027638
2.297479,1226,88.247494
2.186932,1226,89.154284
2.111556,1226,90.066545
2.164362,1226,91.104353
1.945419,1226,92.39606
2.441808,1226,93.19745
2.182499,1226,94.061222
2.379898,1226,95.511191
1.968622,1226,96.481801
2.451085,1226,97.443305
2.473424,1226,98.734761
2.546633,1226,99.5878
2.186583,1226,100.434163
2.5119,1226,101.287124
2.670701,1226,102.758223
2.308554,1226,103.585623
2.394789,1226,104.511571
2.797878,1226,106.013557
2.519531,1226,106.877365
2.72128,1226,107.77797
2.348252,1226,109.07922
2.6391,1226,109.968433
2.537686,1226,110.893059
2.194617,1226,111.734598
2.514552,1226,113.177533
2.382091,1226,114.100745
2.442813,1226,114.921095
2.472262,1226,116.176422
2.556723,1226,117.066444
2.68453,1226,117.90369
2.367394,1226,119.193386
2.602894,1226,120.03711
2.73939,1226,121.046828
2.704369,1226,121.954596
2.835578,1226,123.235561
2.395858,1226,124.139497
2.462301,1226,124.98028
2.55339,1226,126.143309
2.660391,1226,126.803647
2.712498,1226,127.457281
3.052644,1226,128.581932
2.56727,1226,129.298089
2.8643,1226,130.093981
2.644105,1226,130.871356
2.684095,1226,132.092545
2.745272,1226,132.85492
2.927292,1226,133.609576
2.759959,1226,134.725661
3.008994,1226,135.521946
2.678925,1226,136.223317
2.694052,1226,137.295223
3.195401,1226,138.034805
3.018433,1226,138.901387
2.972767,1226,139.697321
3.129044,1226,140.91467
2.920911,1226,141.846114
2.673542,1226,142.493701
3.277416,1226,143.543967
2.962605,1226,144.1751
2.955808,1226,144.82463
2.996589,1226,145.38671
2.695554,1226,146.411793
2.970255,1226,147.057994
2.826075,1226,147.722812
3.400774,1226,148.983468
3.102352,1226,149.81511
2.952881,1226,150.878678
2.953891,1226,152.396276
3.191075,1226,153.436867
3.158215,1226,154.427445
3.219023,1226,155.292094
3.287634,1226,156.919373
3.11816,1226,157.823787
3.200623,1226,158.853169
3.157395,1226,160.577471
3.131798,1226,161.368229
3.409218,1226,162.17762
3.499714,1226,163.319133
3.121289,1226,164.142978
3.370432,1226,164.92988
3.161011,1226,165.646199
3.097108,1226,166.830738
3.152507,1226,167.545541
3.448402,1226,168.29163
3.30571,1226,169.60213
3.435389,1226,170.42857
3.170779,1226,171.301395
3.440021,1226,172.508348
3.341879,1226,173.322637
3.421237,1226,174.068794
3.484894,1226,174.772654
3.49961,1226,175.969494
3.591902,1226,176.743553
3.355621,1226,177.396034
3.263375,1226,178.701296
3.570809,1226,179.54775
3.642681,1226,180.323207
3.830242,1226,181.553207
3.779452,1226,182.403645
3.320243,1226,183.169693
3.550005,1226,183.962496
3.60542,1226,185.227508
3.76103,1226,186.100006
3.315215,1226,186.851929
3.363963,1226,188.034312
3.817124,1226,188.759611
3.559763,1226,189.464488
3.771529,1226,190.748431
3.493405,1226,191.536011
3.801193,1226,192.194399
3.7747,1226,192.869564
3.74892,1226,194.085911
3.551675,1226,194.800519
3.814897,1226,195.41781
3.720364,1226,196.616419
3.400508,1226,197.461017
3.912387,1226,198.478378
3.46576,1226,199.904904
3.824822,1226,200.864327
3.938232,1226,201.767691
3.462726,1226,202.579096
3.841638,1226,204.057171
3.803366,1226,204.881908
4.230072,1226,205.752357
3.943392,1226,207.084342
3.762805,1226,207.916911
3.846936,1226,208.650706
3.836224,1226,209.853997
4.017414,1226,210.713775
3.833634,1226,211.41787
3.932285,1226,212.278004
3.966106,1226,213.605852
3.782067,1226,214.310827
3.99186,1226,215.068857
3.983675,1226,216.423575
3.735282,1226,217.310017
4.011072,1226,217.962979
