#{"t_start": 1760927768.5939467, "env_id": "None"}
r,l,t
0.133949,1226,0.899703
0.464307,1226,1.687823
-0.165739,1226,2.366367
0.46761,1226,3.488911
0.115531,1226,4.289383
-0.07435,1226,5.106841
-0.643102,1226,6.334823
-0.70026,1226,7.181186
0.186438,1226,7.985785
0.132125,1226,8.798384
0.627958,1226,10.040598
-0.211169,1226,10.933701
-0.060207,1226,11.789267
0.015217,1226,13.062572
-0.095093,1226,13.815803
0.247875,1226,14.574476
0.201429,1226,15.810732
0.427493,1226,16.611061
0.437222,1226,17.384389
-0.148783,1226,18.185071
0.367704,1226,19.413099
-0.103313,1226,20.149786
-0.265055,1226,20.948761
0.572847,1226,22.119108
0.329986,1226,22.936571
0.291743,1226,23.875936
0.877134,1226,25.388601
0.206371,1226,26.144149
0.393563,1226,26.878495
-0.046831,1226,27.635516
0.042287,1226,28.88489
0.098988,1226,29.601158
0.95916,1226,30.328731
0.635695,1226,31.480013
1.143811,1226,32.200848
0.527773,1226,32.901645
0.015043,1226,34.107566
0.77026,1226,34.963884
0.541775,1226,35.717626
0.955395,1226,36.46301
1.044879,1226,37.551244
1.14639,1226,38.283072
1.286049,1226,39.125138
1.050009,1226,40.567955
0.433861,1226,41.536269
0.713709,1226,42.335709
1.354955,1226,43.833974
0.968049,1226,44.908432
1.26059,1226,45.876293
1.067262,1226,46.822313
1.154405,1226,48.287992
1.163922,1226,49.048249
1.393603,1226,49.867369
1.456975,1226,51.000052
1.746223,1226,51.755963
0.952414,1226,52.475258
1.565505,1226,53.686641
1.093303,1226,54.504243
1.529507,1226,55.258448
1.58631,1226,56.157261
1.436388,1226,57.34442
1.295608,1226,58.069718
1.636597,1226,58.890751
1.403341,1226,60.143187
1.525785,1226,60.880799
1.899717,1226,61.589353
1.5812,1226,62.794154
1.87929,1226,63.551623
1.238487,1226,64.327912
2.071274,1226,65.134939
1.62138,1226,66.41778
1.64527,1226,67.148431
1.920384,1226,67.884237
2.009734,1226,69.090169
1.879534,1226,69.780578
1.555638,1226,70.7101
1.742996,1226,71.983764
1.581632,1226,72.825819
1.743858,1226,73.579907
2.138753,1226,74.435787
2.174385,1226,75.799395
2.156644,1226,76.668418
1.878203,1226,77.548924
2.046708,1226,78.789225
1.693123,1226,79.592133
1.898713,1226,80.463769
1.909857,1226,81.823097
1.710734,1226,82.498652
2.071468,1226,83.183948
1.855552,1226,83.991292
1.883145,1226,85.194422
1.804579,1226,85.952542
2.135182,1226,86.711812
2.202325,1226,87.982966
2.09932,1226,88.90637
2.034,1226,89.855535
1.99087,1226,91.519029
1.931672,1226,92.324662
2.210319,1226,93.056067
2.070754,1226,93.873728
2.00244,1226,95.078928
2.056281,1226,95.862926
2.313271,1226,96.613764
2.076139,1226,97.80636
2.198863,1226,98.587548
1.939113,1226,99.39054
2.051947,1226,100.603896
2.299204,1226,101.312514
2.310841,1226,102.017769
2.249282,1226,102.678485
2.236366,1226,103.770249
2.250903,1226,104.516815
2.406096,1226,105.521452
2.173001,1226,107.175843
2.432068,1226,108.16006
2.363633,1226,109.164126
2.347857,1226,110.332306
2.072476,1226,111.190531
2.400834,1226,111.919
2.503832,1226,112.754057
2.519897,1226,114.087269
2.301292,1226,114.874275
2.432628,1226,115.610026
2.462125,1226,116.811689
2.609146,1226,117.482987
2.412937,1226,118.261739
2.261406,1226,119.300174
2.542769,1226,120.068778
2.37648,1226,120.793045
2.603307,1226,121.552001
2.678455,1226,122.673059
2.491423,1226,123.430201
2.49195,1226,124.181854
2.665564,1226,125.34803
2.69306,1226,126.129422
2.464425,1226,126.917846
2.311437,1226,128.005423
2.554689,1226,128.845394
2.597343,1226,129.61785
2.563261,1226,130.357999
2.49597,1226,131.509231
2.452142,1226,132.291347
2.496293,1226,132.978371
2.780252,1226,134.142424
2.720962,1226,134.972475
2.637329,1226,135.778753
2.643664,1226,136.511075
2.622284,1226,137.680267
2.797696,1226,138.344629
2.528537,1226,139.09497
3.034584,1226,140.324461
2.664483,1226,141.140358
2.628721,1226,141.866034
2.842341,1226,142.955387
2.854664,1226,143.760044
2.803224,1226,144.439782
3.093033,1226,145.161728
2.649108,1226,146.309124
2.993597,1226,147.030485
3.011711,1226,147.798522
2.929402,1226,148.972744
2.699434,1226,149.707
2.794892,1226,150.386942
2.397804,1226,151.474717
2.558878,1226,152.184471
2.951729,1226,152.949053
2.733077,1226,153.648709
3.100692,1226,154.781558
3.286472,1226,155.476532
3.026112,1226,156.147657
3.035871,1226,157.307448
2.809809,1226,158.108111
3.121684,1226,158.840177
2.873415,1226,159.968099
3.04518,1226,160.655628
3.204899,1226,161.393426
2.92922,1226,162.175971
3.039895,1226,163.378804
2.834636,1226,164.068001
3.146535,1226,164.840515
2.910593,1226,165.945555
3.118647,1226,166.640715
3.088601,1226,167.431674
3.100967,1226,168.595091
3.123789,1226,169.316529
3.448651,1226,170.120141
3.024664,1226,170.90178
3.273916,1226,172.115345
3.308607,1226,172.872523
3.135926,1226,173.653649
3.42469,1226,174.888679
3.418779,1226,175.595448
3.084318,1226,176.305216
3.404902,1226,177.432867
3.228713,1226,178.19833
3.403356,1226,178.971899
3.258427,1226,179.666914
3.545383,1226,180.883745
3.143671,1226,181.718318
3.437526,1226,182.483132
3.363093,1226,183.728862
3.244722,1226,184.565131
3.476419,1226,185.415776
3.461792,1226,186.67919
3.07045,1226,187.469832
3.480348,1226,188.166913
3.534576,1226,188.906115
3.534038,1226,190.044337
3.482018,1226,190.804751
3.399767,1226,191.634781
3.433691,1226,192.820976
3.505284,1226,193.551654
3.338711,1226,194.27195
3.473486,1226,195.492492
3.478513,1226,196.263945
3.586712,1226,196.983878
3.436151,1226,197.721183
3.488546,1226,198.932223
3.718513,1226,199.697229
3.65828,1226,200.4723
3.73912,1226,201.79595
3.547067,1226,202.572313
3.870865,1226,203.338228
3.542483,1226,204.48038
3.456952,1226,205.199528
3.558284,1226,205.986906
3.65103,1226,206.807135
3.734703,1226,207.962278
3.774334,1226,208.790586
3.751136,1226,209.52512
3.730572,1226,210.679175
3.933894,1226,211.442157
3.797973,1226,212.166729
3.851585,1226,213.269553
3.896518,1226,214.081534
4.08588,1226,214.849162
3.780757,1226,215.574744
3.749531,1226,216.837621
3.837717,1226,217.574368
3.88641,1226,218.324934
3.795984,1226,219.545245
4.097855,1226,220.258462
4.06566,1226,220.937747
3.831625,1226,222.321291
4.075842,1226,223.002305
