rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/learning_rate
2482.0,21,0.4315500588235294,1841,46,86016,-0.00921872519829776,-0.8625466957688331,0.005908102,0.12696767,0.0022046058962587266,0.03203125,200,0.2,-0.017470652237534523,0.0003
2482.0,22,0.47641533333333336,1841,48,90112,-0.010965814169321676,-0.8525482840836048,0.006823362,0.2198934,0.0017463676078477875,0.044775390625,210,0.2,-0.026791155338287354,0.0003
2482.0,23,0.49856097297297297,1839,51,94208,-0.010367761252564379,-0.8298265926539898,0.006480195,0.24619782,0.0018545663930126465,0.040234375,220,0.2,-0.020960865542292595,0.0003
2482.0,24,0.5885605384615384,1840,53,98304,-0.009089191356906667,-0.8039673537015914,0.0057287053,0.35924888,0.0020691535391961224,0.035205078125,230,0.2,-0.01992059126496315,0.0003
2482.0,25,0.6486890975609756,1839,55,102400,-0.008306216989876703,-0.8034481331706047,0.005688547,0.3865419,0.002706333804235328,0.0307861328125,240,0.2,-0.005923130549490452,0.0003
2482.0,26,0.6892016904761904,1839,57,106496,-0.009058175011887215,-0.7870847724378109,0.005593411,0.3437273,0.0016695721627911554,0.038134765625,250,0.2,-0.020619628950953484,0.0003
2482.0,27,0.7718616818181817,1838,60,110592,-0.009380407474236564,-0.7821413390338421,0.0059237387,0.4859054,0.0025325829192297533,0.0402099609375,260,0.2,-0.017831221222877502,0.0003
2482.0,28,0.8522301739130433,1838,62,114688,-0.00821080892928876,-0.783189857006073,0.0048098154,0.503496,0.00255151123565156,0.03203125,270,0.2,-0.011203923262655735,0.0003
2482.0,29,0.8715391702127658,1838,64,118784,-0.009719655173830688,-0.77257721722126,0.006264981,0.46911484,0.0023426710526109674,0.03935546875,280,0.2,-0.010798445902764797,0.0003
2482.0,30,0.9278612244897958,1837,66,122880,-0.008688421835540795,-0.748589140176773,0.005053904,0.5760045,0.0020631177088944242,0.029150390625,290,0.2,-0.014554448425769806,0.0003
2482.0,31,0.9847630196078431,1838,69,126976,-0.009219237792422064,-0.7316753327846527,0.006405778,0.56889725,0.0028084853736800143,0.042529296875,300,0.2,-0.01606735959649086,0.0003
2482.0,32,1.0149482307692308,1838,71,131072,-0.007570266637776513,-0.7123918361961842,0.004607723,0.54375565,0.0016693498953827656,0.0287109375,310,0.2,-0.022227736189961433,0.0003
2482.0,33,1.0732395,1838,73,135168,-0.007301488169468939,-0.6896159783005714,0.005251341,0.625028,0.002423485700273886,0.029833984375,320,0.2,-0.014409089460968971,0.0003
2482.0,34,1.1347603928571428,1838,75,139264,-0.009219298377865925,-0.6844777323305606,0.0067770574,0.62162,0.0022473402219475246,0.049267578125,330,0.2,-0.01332163531333208,0.0003
2482.0,35,1.1637607192982453,1837,78,143360,-0.008803450051345862,-0.6646044112741947,0.0046814303,0.5885588,0.0018893474858487024,0.039404296875,340,0.2,-0.016219504177570343,0.0003
2482.0,36,1.219981627118644,1837,80,147456,-0.008580093213822693,-0.6635564841330052,0.005406346,0.6519082,0.0026559756151982583,0.0387939453125,350,0.2,-0.015543217770755291,0.0003
2482.0,37,1.260797819672131,1837,82,151552,-0.011557250836631283,-0.6629483751952648,0.0071803383,0.5818182,0.0020849847933277488,0.0630615234375,360,0.2,-0.018998563289642334,0.0003
2482.0,38,1.2904247258064516,1838,84,155648,-0.009137079463107512,-0.6339827656745911,0.006293799,0.65981025,0.002859310717030894,0.046533203125,370,0.2,-0.010021242313086987,0.0003
2482.0,39,1.333087203125,1838,86,159744,-0.007383630890399217,-0.6261660315096378,0.004887691,0.7113078,0.002258784469449893,0.0310546875,380,0.2,-0.015440192073583603,0.0003
2482.0,40,1.3775150151515152,1838,89,163840,-0.00843473840795923,-0.6233135044574738,0.004638661,0.63480604,0.0019474960616207681,0.0385498046875,390,0.2,-0.020994219928979874,0.0003
2482.0,41,1.407471223880597,1838,91,167936,-0.010514517786214128,-0.6000854358077049,0.006016158,0.6847617,0.0024178914114600047,0.0478515625,400,0.2,-0.020194923505187035,0.0003
2482.0,42,1.4588673043478262,1837,93,172032,-0.007566239393781871,-0.6048369236290455,0.0047639613,0.7182909,0.0024638486211188138,0.03427734375,410,0.2,-0.011040865443646908,0.0003
2482.0,43,1.4853451285714285,1837,95,176128,-0.008399782242486253,-0.5881791114807129,0.0047556134,0.6636447,0.001999922009417787,0.0396484375,420,0.2,-0.02016863040626049,0.0003
2482.0,44,1.5375175277777775,1837,98,180224,-0.008860942584578878,-0.564015207439661,0.005654743,0.73672456,0.0023262029790203087,0.0440673828125,430,0.2,-0.01487615518271923,0.0003
2482.0,45,1.5729710135135133,1837,100,184320,-0.008009259070968255,-0.5677443511784077,0.005445335,0.7389392,0.0023457384697394444,0.0497314453125,440,0.2,-0.01849968358874321,0.0003
2482.0,46,1.593970253333333,1837,102,188416,-0.009908538236049935,-0.5495570950210095,0.005652633,0.7047279,0.0016723255175747909,0.0447998046875,450,0.2,-0.021060027182102203,0.0003
2482.0,47,1.640387792207792,1836,104,192512,-0.008849842328345403,-0.5216980636119842,0.0054811114,0.77374625,0.0022634919718257152,0.0465576171875,460,0.2,-0.013419135473668575,0.0003
2482.0,48,1.6827586455696202,1836,107,196608,-0.008611455533537083,-0.5186243291944266,0.0061364756,0.7602805,0.002503553163842298,0.050048828125,470,0.2,-0.00879428070038557,0.0003
2482.0,49,1.7053695124999997,1836,109,200704,-0.00922421220166143,-0.5086189925670623,0.0057679033,0.7339947,0.0020545661172945984,0.0584228515625,480,0.2,-0.011240357533097267,0.0003
2482.0,50,1.7434443902439023,1836,111,204800,-0.007295799016719684,-0.48919063396751883,0.0044304845,0.78580016,0.002406849122780841,0.0408203125,490,0.2,-0.012806211598217487,0.0003
2482.0,51,1.7899476904761902,1836,113,208896,-0.008509124594274909,-0.4866385817527771,0.005241015,0.77761734,0.0025386674591572956,0.0458740234375,500,0.2,-0.009153954684734344,0.0003
2482.0,52,1.8136794941176466,1836,115,212992,-0.00637726645800285,-0.481941382214427,0.0040010437,0.76952624,0.0019717556075192987,0.03193359375,510,0.2,-0.011137385852634907,0.0003
2482.0,53,1.8528134827586202,1836,118,217088,-0.006223518186016008,-0.4686955649405718,0.0041157203,0.7994223,0.0026047110033687202,0.0312744140625,520,0.2,-0.007410603575408459,0.0003
2482.0,54,1.892554382022472,1836,120,221184,-0.008108446386177092,-0.47305360026657584,0.0054877657,0.80921453,0.0022710855555487797,0.0418701171875,530,0.2,-0.014213602989912033,0.0003
2482.0,55,1.9163212222222221,1836,122,225280,-0.008189172609127127,-0.4584505043923855,0.0044501573,0.7853819,0.0017156982998130844,0.04150390625,540,0.2,-0.012254282832145691,0.0003
2482.0,56,1.947529891304348,1836,124,229376,-0.007238905169651843,-0.4546407576650381,0.0043327566,0.83307385,0.002164910147257615,0.038525390625,550,0.2,-0.009934935718774796,0.0003
2482.0,57,1.9918277553191492,1836,127,233472,-0.00845524554461008,-0.4625738851726055,0.004784187,0.7883643,0.0018043923540972174,0.044677734375,560,0.2,-0.01816328428685665,0.0003
2482.0,58,2.010025505263158,1836,129,237568,-0.007258830624050461,-0.44494337141513823,0.0047165924,0.8389357,0.0023804375057807194,0.038525390625,570,0.2,-0.005388601683080196,0.0003
2482.0,59,2.0536774845360823,1835,131,241664,-0.008242189037264324,-0.4460004411637783,0.0047831265,0.83748114,0.002518550943932496,0.0425537109375,580,0.2,-0.013113407418131828,0.0003
2482.0,60,2.092446808080808,1835,133,245760,-0.0072326730019995015,-0.4488842736929655,0.0048968783,0.785542,0.002101735876931343,0.0439453125,590,0.2,-0.014129619114100933,0.0003
2482.0,61,2.11213717,1835,136,249856,-0.0074294964004366195,-0.42788020372390745,0.004641728,0.8691108,0.001980885326338466,0.0423583984375,600,0.2,-0.011318515986204147,0.0003
2482.0,62,2.20268822,1836,138,253952,-0.007399822975276038,-0.4333730638027191,0.0049515814,0.8698577,0.002083652206056286,0.0449462890625,610,0.2,-0.005683276802301407,0.0003
2482.0,63,2.23852088,1836,140,258048,-0.00792836076579988,-0.4323382664471865,0.0044314014,0.8321755,0.0016548781874007545,0.04111328125,620,0.2,-0.010960282757878304,0.0003
2482.0,64,2.32209968,1835,142,262144,-0.00781046063566464,-0.41969937458634377,0.004623562,0.8718612,0.002142890192044433,0.0449462890625,630,0.2,-0.011102782562375069,0.0003
2482.0,65,2.40844841,1835,145,266240,-0.005931895796675235,-0.4342726532369852,0.0034897132,0.8568075,0.0022405905459891074,0.030029296875,640,0.2,-0.013737029395997524,0.0003
2482.0,66,2.44470618,1835,147,270336,-0.006950419602799229,-0.42851276844739916,0.0041987784,0.85200167,0.001752303853572812,0.0365478515625,650,0.2,-0.012177938595414162,0.0003
2482.0,67,2.53905176,1834,149,274432,-0.007482272508786992,-0.4159379083663225,0.0038216342,0.8851925,0.0020758657410624437,0.0367431640625,660,0.2,-0.015087497420608997,0.0003
2482.0,68,2.6165985899999997,1834,151,278528,-0.008345094972173683,-0.4357819136232138,0.0047008907,0.88036215,0.002049776339845266,0.047216796875,670,0.2,-0.015900135040283203,0.0003
