time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1226.0,0.14417233333333335,2,1579,,,,,,,,,,
2,8192,1226.0,0.1568846666666667,5,1435,-0.005984942428767681,0.0025271673,-1.0978217467665672,0.0015869140625,0.2,-0.004769339166523423,10,-6.810596,0.0003,0.06364852865226567
3,12288,1226.0,-0.008349100000000003,8,1388,-0.00890694372355938,0.0023273767,-1.0943712517619133,0.0012451171875,0.2,-0.005042685558146331,20,-0.7746502,0.0003,0.015132387611083686
4,16384,1226.0,0.021007,12,1354,-0.017265228554606438,0.0038024276,-1.0897548079490662,0.0052490234375,0.2,-0.006326143821934238,30,-1.1254807,0.0003,0.009071115619735792
5,20480,1226.0,0.027568125000000013,15,1355,-0.01655546762049198,0.005009487,-1.0793584540486336,0.0150146484375,0.2,-0.007088870997540653,40,-0.7585621,0.0003,0.006788688706001267
6,24576,1226.0,0.06792255,18,1347,-0.012829190120100975,0.0044870176,-1.072716699540615,0.0091064453125,0.2,-0.006204263080144301,50,-1.188041,0.0003,0.004839368237298913
7,28672,1226.0,0.05903421739130435,21,1349,-0.016147224232554436,0.005353166,-1.063442586362362,0.01142578125,0.2,-0.006921320490073412,60,-0.9862511,0.0003,0.004530358643387444
8,32768,1226.0,0.0981678076923077,24,1330,-0.015048621222376823,0.006073703,-1.0464879438281058,0.01640625,0.2,-0.007036185800097882,70,-1.1132112,0.0003,0.003288109347340651
9,36864,1226.0,0.13275333333333333,27,1330,-0.012350077740848064,0.0059138313,-1.0262396827340126,0.017724609375,0.2,-0.007766846571757924,80,-0.4421494,0.0003,0.002821121836313978
10,40960,1226.0,0.15403136363636363,30,1336,-0.025305742397904396,0.0068421923,-1.0194881081581115,0.0342529296875,0.2,-0.009842398628825322,90,-0.7624886,0.0003,0.002325363378622569
11,45056,1226.0,0.2052865,33,1345,-0.016342082992196083,0.005992257,-1.0124359741806983,0.02099609375,0.2,-0.007465224975021556,100,-0.32763994,0.0003,0.002087203766859602
12,49152,1226.0,0.24181967499999998,36,1345,-0.01811354234814644,0.0072219498,-0.9998551040887833,0.037548828125,0.2,-0.009823580936063081,110,0.1089105,0.0003,0.0026013169903308154
13,53248,1226.0,0.3058163953488372,39,1346,-0.02020259015262127,0.0058024134,-0.9858103029429912,0.0264892578125,0.2,-0.008684836700558663,120,0.113817096,0.0003,0.0021666536980774254
14,57344,1226.0,0.3336453043478261,43,1328,-0.023806897923350334,0.0069469325,-0.9781246237456799,0.039404296875,0.2,-0.010075171667267568,130,0.32597274,0.0003,0.0027891018995433114
15,61440,1226.0,0.39997079999999996,46,1308,-0.01283290982246399,0.00692836,-0.9629492588341236,0.0315185546875,0.2,-0.00899520271050278,140,0.43738627,0.0003,0.0024710897196200676
16,65536,1226.0,0.44736735849056597,50,1304,-0.020254092290997505,0.0075509725,-0.9475572101771832,0.038916015625,0.2,-0.010081212557270191,150,0.5082269,0.0003,0.002417972321563866
17,69632,1226.0,0.4976086071428572,53,1310,-0.017328180372714996,0.0066451007,-0.9246048800647259,0.039208984375,0.2,-0.009371624662890099,160,0.54531485,0.0003,0.002680725062964484
18,73728,1226.0,0.5606784499999999,56,1309,-0.018031107261776924,0.006754009,-0.9030412025749683,0.028857421875,0.2,-0.008111773192649708,170,0.60242534,0.0003,0.0035873793327482416
19,77824,1226.0,0.6033222222222223,59,1312,-0.019777612760663033,0.0071307453,-0.8858201965689659,0.0484619140625,0.2,-0.009895090875215829,180,0.6475545,0.0003,0.002728369850956369
20,81920,1226.0,0.6490627727272728,62,1316,-0.017599115148186684,0.006328061,-0.863034737855196,0.043505859375,0.2,-0.008197799444315024,190,0.66143674,0.0003,0.002984494756674394
21,86016,1226.0,0.708691342857143,65,1317,-0.020663360133767128,0.007825144,-0.8424766525626183,0.054638671875,0.2,-0.010809370878268965,200,0.71393454,0.0003,0.0035497392469551413
22,90112,1226.0,0.7506223013698631,68,1318,-0.018311742693185806,0.0060061817,-0.8269374340772628,0.0330078125,0.2,-0.006966748065315187,210,0.7194315,0.0003,0.003219952338258736
23,94208,1226.0,0.7926359736842106,71,1318,-0.017149124294519424,0.004771556,-0.8234196916222573,0.0269775390625,0.2,-0.0070634223760862366,220,0.7441089,0.0003,0.0028048279535141775
24,98304,1226.0,0.8430946625000001,74,1317,-0.013511240482330322,0.007334655,-0.8063309669494629,0.0548583984375,0.2,-0.009248776020831429,230,0.78355783,0.0003,0.0034800902823917566
25,102400,1226.0,0.8874313855421687,77,1313,-0.019550234079360962,0.0058508664,-0.797680851072073,0.034912109375,0.2,-0.007561176380841061,240,0.76827866,0.0003,0.0034003011911408975
26,106496,1226.0,0.9220389418604651,81,1309,-0.014451543800532818,0.0057470873,-0.7843025088310241,0.037158203125,0.2,-0.007371137719019316,250,0.7955159,0.0003,0.002974617830477655
27,110592,1226.0,0.9649217777777779,84,1314,-0.01605314016342163,0.006636842,-0.773341941088438,0.041650390625,0.2,-0.0072920543374493715,260,0.822338,0.0003,0.0035703026980627326
28,114688,1226.0,0.9964071612903227,87,1314,-0.008161049336194992,0.0054209395,-0.7697179585695266,0.0318359375,0.2,-0.007219524538959377,270,0.8115659,0.0003,0.003178356579155661
29,118784,1226.0,1.0312657395833333,90,1307,-0.01582249067723751,0.006074876,-0.7473317474126816,0.0427001953125,0.2,-0.007559090465656481,280,0.8176574,0.0003,0.003025029881973751
30,122880,1226.0,1.0720512599999998,94,1306,-0.014273261651396751,0.0049424767,-0.7396406695246697,0.0306640625,0.2,-0.007250331153045408,290,0.8513467,0.0003,0.0032089307089336215
31,126976,1226.0,1.13144601,97,1307,-0.013934365473687649,0.0056710294,-0.7413391798734665,0.03837890625,0.2,-0.007276858612021897,300,0.8557764,0.0003,0.0027347089649992994
32,131072,1226.0,1.1884992500000002,100,1309,-0.01640530489385128,0.0067962743,-0.7137804172933102,0.054052734375,0.2,-0.009333298506680876,310,0.86110234,0.0003,0.002729707591061015
33,135168,1226.0,1.2878599800000001,102,1313,-0.02358628809452057,0.0077675977,-0.6932741686701774,0.0575927734375,0.2,-0.009444461803650484,320,0.8793813,0.0003,0.0030546819645678623
34,139264,1226.0,1.35322781,106,1311,-0.0144138652831316,0.006750566,-0.690348856151104,0.049609375,0.2,-0.009188287044526077,330,0.8734672,0.0003,0.002771299945015926
35,143360,1226.0,1.4212348399999997,109,1304,-0.0165605079382658,0.007751148,-0.6673001416027546,0.0593505859375,0.2,-0.008870423916960135,340,0.8892667,0.0003,0.0024882630357751625
36,147456,1226.0,1.5053112199999998,113,1304,-0.012907099910080433,0.005744138,-0.6472952522337436,0.0491943359375,0.2,-0.0077878117153886706,350,0.9015104,0.0003,0.0028998384164879098
37,151552,1226.0,1.5778560299999997,116,1305,-0.013100052252411842,0.006798885,-0.6447507679462433,0.0501953125,0.2,-0.008386055381561165,360,0.89459026,0.0003,0.002632149515557103
38,155648,1226.0,1.6407523499999999,118,1309,-0.012755317613482475,0.0072334567,-0.6351738855242729,0.0586669921875,0.2,-0.008270230586640536,370,0.90221435,0.0003,0.0027375202189432457
39,159744,1226.0,1.7242895999999996,121,1311,-0.010628268122673035,0.0060247523,-0.631803322583437,0.0391845703125,0.2,-0.0071676418883726,380,0.9285486,0.0003,0.0022419438551878556
40,163840,1226.0,1.7899035300000004,124,1313,-0.021134058013558388,0.0061704284,-0.6258209019899368,0.045361328125,0.2,-0.007043537846766412,390,0.92083955,0.0003,0.002204827597597614
41,167936,1226.0,1.84506123,127,1315,-0.009227673523128033,0.00625575,-0.6004622749984264,0.0512451171875,0.2,-0.00742268525500549,400,0.93584156,0.0003,0.002280384689220227
42,172032,1226.0,1.9225038,130,1317,-0.013718255795538425,0.0068400977,-0.5858147129416466,0.0565673828125,0.2,-0.008510973848751746,410,0.9355302,0.0003,0.0019835190585581587
43,176128,1226.0,1.9621746700000002,133,1319,-0.015172237530350685,0.0053536473,-0.5728377580642701,0.0425537109375,0.2,-0.006870924154645764,420,0.9351278,0.0003,0.002043699909700081
44,180224,1226.0,2.0344713999999997,136,1320,-0.010557029396295547,0.0061686733,-0.5503991574048996,0.05498046875,0.2,-0.008677916685701347,430,0.94385755,0.0003,0.0021590569522231817
45,184320,1226.0,2.08099756,139,1322,-0.015537003986537457,0.005469813,-0.5418267570436001,0.04609375,0.2,-0.007810023648198694,440,0.944586,0.0003,0.0018785004765959456
46,188416,1226.0,2.12715614,142,1323,-0.010002097114920616,0.005893343,-0.5383418828248978,0.044677734375,0.2,-0.0071311152772977945,450,0.9501119,0.0003,0.0017162352523882873
47,192512,1226.0,2.18587759,145,1325,-0.01712052896618843,0.005055456,-0.5285475205630064,0.035888671875,0.2,-0.006212839974614326,460,0.9592007,0.0003,0.0018075354120810517
48,196608,1226.0,2.2303305499999997,148,1327,-0.016348112374544144,0.005813348,-0.5251153573393822,0.0447998046875,0.2,-0.007777989449095912,470,0.9571062,0.0003,0.0016509321925695986
49,200704,1226.0,2.2708819000000005,150,1330,-0.015324589796364307,0.0047995276,-0.5206950169056654,0.038134765625,0.2,-0.006531743241066579,480,0.96096176,0.0003,0.0015389585416414775
50,204800,1226.0,2.31319635,153,1332,-0.016508419066667557,0.0055014887,-0.5085289537906647,0.045654296875,0.2,-0.007943714008433744,490,0.9599611,0.0003,0.0017319374761427752
51,208896,1226.0,2.3554386000000007,156,1335,-0.012974048033356667,0.0054018674,-0.5028223346918821,0.0467041015625,0.2,-0.007920165441464632,500,0.9635783,0.0003,0.001298453447088832
52,212992,1226.0,2.3932419000000005,159,1336,-0.012757603079080582,0.005284144,-0.48702492378652096,0.040966796875,0.2,-0.007386153977131471,510,0.97058773,0.0003,0.001089420604694169
53,217088,1226.0,2.44189002,162,1338,-0.01160998735576868,0.005261576,-0.46772916465997694,0.0532470703125,0.2,-0.008587939300923608,520,0.9772028,0.0003,0.0010939898005744909
54,221184,1226.0,2.4774582499999998,165,1339,-0.012036798521876335,0.0059698685,-0.4622956160455942,0.0523193359375,0.2,-0.008050045452546329,530,0.9766845,0.0003,0.0009250214934581891
55,225280,1226.0,2.5065443400000005,168,1340,-0.01126581709831953,0.008053612,-0.4554102052003145,0.063623046875,0.2,-0.009525520497118124,540,0.9789101,0.0003,0.0009046854764164891
56,229376,1226.0,2.5580410400000004,171,1341,-0.022115672007203102,0.005928684,-0.42946130186319353,0.0521240234375,0.2,-0.009060653756023385,550,0.98385423,0.0003,0.0008377823789487593
57,233472,1226.0,2.59884799,174,1341,-0.00872792024165392,0.0042202575,-0.4212868556380272,0.0415771484375,0.2,-0.007457741144753527,560,0.98322743,0.0003,0.0007834650845325086
58,237568,1226.0,2.6398968000000003,176,1343,-0.010667240247130394,0.0046180002,-0.4147333733737469,0.0403564453125,0.2,-0.007297324168030172,570,0.98530644,0.0003,0.0006750897857273231
59,241664,1226.0,2.6895856300000003,179,1344,-0.013808892108500004,0.0047511784,-0.4004012171179056,0.0457275390625,0.2,-0.007791218621423468,580,0.9884558,0.0003,0.0006562818824022542
60,245760,1226.0,2.72872398,182,1343,-0.011248829774558544,0.0058743786,-0.40032427236437795,0.054638671875,0.2,-0.010011480073444545,590,0.9894215,0.0003,0.0005177334991458338
61,249856,1226.0,2.7658464000000005,186,1342,-0.009102697484195232,0.005296812,-0.398488599807024,0.04755859375,0.2,-0.008413379726698622,600,0.99026746,0.0003,0.00047637589523219503
62,253952,1226.0,2.81865744,189,1343,-0.01802208088338375,0.0063781645,-0.3838305313140154,0.055322265625,0.2,-0.00988603250007145,610,0.9924014,0.0003,0.00044948543545615395
63,258048,1226.0,2.8542224000000003,192,1343,-0.017587389796972275,0.005680881,-0.38669105544686316,0.0520751953125,0.2,-0.00904933148121927,620,0.9919102,0.0003,0.00040460554300807415
64,262144,1226.0,2.88806561,194,1344,-0.012650610879063606,0.005755364,-0.3799679510295391,0.0498046875,0.2,-0.008815737323311623,630,0.9923448,0.0003,0.0003732204106199788
65,266240,1226.0,2.93464864,197,1345,-0.013906887732446194,0.005528086,-0.3706293500959873,0.048193359375,0.2,-0.00889098697080044,640,0.995077,0.0003,0.00030445670363405953
