#{"t_start": 1760926845.067338, "env_id": "None"}
r,l,t
-0.229642,1225,0.867162
-0.141649,1225,1.655149
-0.053606,1225,2.481574
-0.027847,1225,3.728481
-0.25831,1225,4.521111
-0.17762,1225,5.361148
-0.197779,1225,6.545389
-0.234205,1225,7.361173
-0.372554,1225,8.120658
-0.103114,1225,8.977826
0.273669,1225,10.228386
-0.38958,1225,10.987343
-0.442218,1225,11.862974
-0.542846,1225,13.140881
-0.055342,1225,13.953452
0.378629,1225,14.742631
-0.331746,1225,15.929499
0.004239,1225,16.754443
0.072819,1225,17.544679
0.032056,1225,18.383751
-0.333671,1225,19.598598
0.319747,1225,20.521182
0.409479,1225,21.339117
0.595045,1225,22.629315
0.260784,1225,23.548639
-0.151377,1225,24.409664
-0.086892,1225,25.694926
-0.068106,1225,26.476688
-0.395546,1225,27.411744
-0.212764,1225,28.301255
0.325446,1225,29.538674
-0.050465,1225,30.401209
-0.224665,1225,31.208912
-0.08351,1225,32.652264
0.213351,1225,33.568919
0.243192,1225,34.444432
-0.354281,1225,35.8365
0.331745,1225,36.854145
-0.008615,1225,37.678031
-0.039824,1225,38.533161
0.368569,1225,39.885016
0.117566,1225,40.715487
0.048754,1225,41.536337
-0.146798,1225,42.808322
-0.095272,1225,43.693225
0.307112,1225,44.664116
0.14277,1225,45.98874
0.271611,1225,46.825428
0.577387,1225,47.667338
0.334063,1225,48.509631
0.305545,1225,49.785578
0.482228,1225,50.647689
0.457779,1225,51.52616
0.31747,1225,52.970652
0.514039,1225,53.94163
0.740963,1225,54.886379
0.425991,1225,56.206589
0.47977,1225,57.219018
0.347319,1225,58.188455
0.626531,1225,59.039267
0.587071,1225,60.40718
0.614373,1225,61.312151
0.49566,1225,62.205839
0.628912,1225,63.627809
0.66678,1225,64.565825
0.574227,1225,65.444795
0.716709,1225,66.810654
0.65729,1225,67.677261
0.575613,1225,68.516567
0.342982,1225,69.439809
0.430669,1225,70.822233
0.309283,1225,71.656596
0.657888,1225,72.447264
0.633676,1225,73.743411
1.052888,1225,74.680445
1.031164,1225,75.646422
0.761757,1225,76.892336
0.916448,1225,77.620591
1.061376,1225,78.233227
1.277835,1225,78.85937
0.879681,1225,79.916274
0.967299,1225,80.584315
1.130334,1225,81.205792
0.535096,1225,82.268625
0.880261,1225,83.126635
0.686297,1225,83.795331
1.146351,1225,84.856056
1.112521,1225,85.647513
0.992253,1225,86.399422
1.329217,1225,87.112345
0.98741,1225,88.361204
1.323565,1225,89.150582
1.001235,1225,89.947138
1.221507,1225,91.204684
1.55205,1225,91.978402
0.999263,1225,92.671948
1.095016,1225,93.788859
1.370022,1225,94.481325
1.310481,1225,95.122796
1.201524,1225,95.812887
1.423065,1225,96.878845
1.227906,1225,97.530998
1.430673,1225,98.172819
1.258033,1225,99.438222
1.320058,1225,100.23882
1.589862,1225,100.995759
1.852719,1225,102.22312
1.722661,1225,103.007628
1.52659,1225,103.71897
1.610324,1225,104.459592
1.673374,1225,105.68859
1.572895,1225,106.584347
1.41233,1225,107.317205
1.85343,1225,108.449197
1.757463,1225,109.227035
1.456712,1225,110.093253
1.815764,1225,110.783073
1.590432,1225,111.956221
1.309538,1225,112.585782
1.499232,1225,113.284585
1.572256,1225,114.442602
1.906147,1225,115.193153
1.575424,1225,115.813343
1.351385,1225,117.073937
1.794858,1225,117.877296
1.532596,1225,118.803721
1.63407,1225,119.57426
1.644574,1225,120.731431
1.656671,1225,121.872417
1.615127,1225,122.90873
1.788993,1225,124.186172
1.813124,1225,125.011731
1.94872,1225,125.923672
1.705549,1225,127.130383
1.782391,1225,127.935593
1.544516,1225,128.839019
1.846382,1225,129.551475
1.948642,1225,130.884955
1.777766,1225,131.628233
1.962822,1225,132.376467
1.811433,1225,133.565189
1.974901,1225,134.340949
2.164,1225,135.129735
1.933543,1225,136.46851
2.114819,1225,137.309723
1.675023,1225,138.094215
1.95454,1225,138.879505
2.101936,1225,140.075232
2.014744,1225,140.910169
2.084174,1225,141.707885
1.797441,1225,142.984289
1.927559,1225,143.821126
2.11577,1225,144.696285
2.030003,1225,146.01402
1.865019,1225,146.931773
2.049607,1225,147.70557
2.178895,1225,148.477375
2.023089,1225,149.662917
2.026086,1225,150.392136
2.232397,1225,151.209586
2.290427,1225,152.483494
2.22967,1225,153.240258
2.036174,1225,153.973597
2.386774,1225,154.999827
2.280518,1225,155.882087
2.253236,1225,156.64991
2.172167,1225,157.350379
2.612953,1225,158.455294
2.397346,1225,159.170666
2.465016,1225,159.914599
2.166187,1225,161.211692
2.335846,1225,162.067475
2.585187,1225,162.827559
2.242805,1225,164.021646
2.606024,1225,164.955252
2.580149,1225,165.715298
