#{"t_start": 1760928206.7896576, "env_id": "None"}
r,l,t
4.836727,1226,219.020279
4.672919,1226,219.790915
4.626857,1226,220.629462
4.680553,1226,221.346869
4.714554,1226,222.633684
4.958257,1226,223.473813
4.853234,1226,224.224718
4.892978,1226,225.409756
5.04172,1226,226.264479
4.857955,1226,227.155503
4.997792,1226,228.419854
5.131534,1226,229.242326
4.907344,1226,229.978109
4.816707,1226,230.677979
5.181647,1226,231.832713
5.024329,1226,232.662966
4.989797,1226,233.559266
4.998059,1226,234.886816
5.019337,1226,235.645021
5.104264,1226,236.40309
5.149283,1226,237.58138
5.103873,1226,238.44099
5.054964,1226,239.302798
5.14296,1226,239.962287
5.119107,1226,241.014303
5.176838,1226,241.768565
5.153027,1226,242.429462
5.200506,1226,243.579652
5.34921,1226,244.237297
5.310496,1226,244.840169
5.438354,1226,245.91895
5.181582,1226,246.63245
5.171505,1226,247.269979
5.468425,1226,247.982504
5.163268,1226,249.213913
5.234395,1226,249.89871
5.35908,1226,250.582113
5.41269,1226,251.664306
5.427052,1226,252.371848
5.332662,1226,253.094152
5.270577,1226,254.240071
5.480613,1226,254.921059
5.264352,1226,255.648145
5.555807,1226,256.385039
5.50188,1226,257.490622
5.530709,1226,258.139076
5.588156,1226,258.830234
5.585947,1226,259.974755
5.326406,1226,260.645113
5.574754,1226,261.267451
5.476237,1226,261.883073
5.572847,1226,262.97062
5.488744,1226,263.629719
5.548678,1226,264.378358
5.627757,1226,265.443612
5.779938,1226,266.086552
5.651697,1226,266.779237
5.843165,1226,267.889633
5.532995,1226,268.596211
5.72166,1226,269.217551
5.462866,1226,269.963049
5.708048,1226,271.03941
5.632529,1226,271.687388
5.686009,1226,272.503554
5.787444,1226,273.63246
5.855376,1226,274.343875
5.928689,1226,275.122133
5.740046,1226,276.212326
5.942385,1226,276.914402
5.864263,1226,277.532503
5.874395,1226,278.23561
5.966538,1226,279.387197
5.950898,1226,280.056252
5.837195,1226,280.758746
6.149635,1226,281.793537
6.114667,1226,282.487396
5.900736,1226,283.144723
6.069152,1226,284.32091
5.894614,1226,285.006251
5.88001,1226,285.702663
6.142262,1226,286.326091
5.967093,1226,287.444057
5.773304,1226,288.057697
5.908902,1226,288.797935
5.989673,1226,289.87971
5.971675,1226,290.620899
5.823153,1226,291.288337
5.952901,1226,292.370055
5.952362,1226,292.997684
6.124475,1226,293.761729
6.07147,1226,294.523865
6.263762,1226,295.679037
6.120122,1226,296.361934
6.004406,1226,297.047728
6.271497,1226,298.324634
6.29948,1226,299.168087
6.376946,1226,299.951266
6.313606,1226,301.089859
5.919952,1226,301.818386
6.384095,1226,302.536771
6.300671,1226,303.219086
6.262337,1226,304.305287
6.385174,1226,305.02523
6.536531,1226,305.744606
6.343787,1226,306.839535
6.335506,1226,307.44938
6.390354,1226,308.076581
6.373579,1226,309.113057
6.498865,1226,309.731527
6.332593,1226,310.396981
6.321937,1226,311.179075
6.430789,1226,312.397318
6.568515,1226,313.150761
6.586607,1226,313.817183
6.531697,1226,315.01724
6.457691,1226,315.733001
6.539928,1226,316.418949
6.349183,1226,317.635812
6.285377,1226,318.484792
6.505168,1226,319.314153
6.646598,1226,320.183736
6.657324,1226,321.503536
6.664141,1226,322.287836
6.599018,1226,323.041363
6.604199,1226,324.342104
6.628843,1226,325.141826
6.650546,1226,325.986453
6.725162,1226,327.273716
6.677005,1226,328.004817
7.019079,1226,328.663245
6.937882,1226,329.337142
6.792153,1226,330.4447
6.818951,1226,331.102826
6.674165,1226,331.806523
6.81641,1226,332.995951
6.682891,1226,333.805093
6.695034,1226,334.57563
6.879544,1226,335.701294
6.739814,1226,336.402264
6.740925,1226,337.086054
6.731055,1226,337.784532
6.885447,1226,338.869637
6.957912,1226,339.464247
6.791092,1226,340.056955
6.730706,1226,341.118677
6.972945,1226,341.773044
6.9555,1226,342.39384
6.913184,1226,343.383281
7.143282,1226,343.980928
6.963522,1226,344.529707
6.949677,1226,345.086393
6.934819,1226,346.056845
6.951035,1226,346.622216
6.999257,1226,347.177801
6.918888,1226,348.181518
7.238203,1226,348.791949
7.115618,1226,349.351367
7.057631,1226,350.292597
7.208641,1226,350.899443
6.991471,1226,351.455245
7.146425,1226,352.009301
7.083409,1226,352.979474
7.07972,1226,353.572229
7.161257,1226,354.119604
7.251571,1226,355.087691
7.185664,1226,355.642333
6.962826,1226,356.19773
7.260198,1226,357.132467
7.28188,1226,357.73544
7.269681,1226,358.305665
7.300971,1226,358.867795
7.201256,1226,359.845279
6.98658,1226,360.415209
7.392283,1226,360.97082
7.15031,1226,361.943872
7.471879,1226,362.493815
7.265275,1226,363.071871
7.421191,1226,364.025115
7.419229,1226,364.637332
7.26889,1226,365.187817
7.329761,1226,365.729199
7.520148,1226,366.714756
7.496256,1226,367.274339
7.388663,1226,367.835013
7.342284,1226,368.81616
7.369141,1226,369.38535
7.308352,1226,369.963052
7.508205,1226,370.868304
7.499388,1226,371.500435
7.476076,1226,372.041586
7.500728,1226,372.60328
7.302633,1226,373.556119
7.485602,1226,374.134226
7.317786,1226,374.680913
7.494315,1226,375.650232
7.688675,1226,376.205172
7.474989,1226,376.77443
7.744042,1226,377.327955
7.651803,1226,378.327729
7.631234,1226,378.891562
7.644798,1226,379.462676
7.680696,1226,380.44032
7.622791,1226,380.999894
7.693065,1226,381.540728
7.542963,1226,382.526905
7.802718,1226,383.078676
7.659781,1226,383.644201
7.634338,1226,384.196708
7.796363,1226,385.21104
7.703788,1226,385.80321
7.568104,1226,386.378326
7.730789,1226,387.348507
7.703442,1226,387.92037
7.752479,1226,388.5575
7.702397,1226,389.544363
7.826407,1226,390.111504
7.717671,1226,390.665069
7.743501,1226,391.215059
7.846699,1226,392.196398
7.844123,1226,392.790605
7.698708,1226,393.337761
7.967607,1226,394.320425
7.810506,1226,394.900041
7.991112,1226,395.540661
7.919742,1226,396.657391
7.907919,1226,397.294448
7.869717,1226,397.960236
8.063375,1226,398.642299
7.840623,1226,399.732589
8.139978,1226,400.360131
8.138105,1226,400.992011
7.880918,1226,402.002979
8.065449,1226,402.607846
7.886924,1226,403.24485
8.014691,1226,404.286335
8.03314,1226,404.843965
8.099243,1226,405.422995
8.030167,1226,406.00562
8.16597,1226,407.074755
8.169471,1226,407.666728
7.96807,1226,408.259952
8.091296,1226,409.290751
8.202759,1226,409.892942
8.205853,1226,410.511132
7.895192,1226,411.484098
7.994268,1226,412.063354
8.228023,1226,412.88389
8.287223,1226,413.541182
