#{"t_start": 1760928620.968637, "env_id": "None"}
r,l,t
-0.015345,1225,1.003715
-0.360352,1225,1.869631
-0.103778,1225,2.728501
-0.358701,1225,4.018423
-0.032939,1225,4.646515
-0.640769,1225,5.461852
-0.093256,1225,6.774338
-0.040302,1225,7.547094
-0.055853,1225,8.249696
0.121136,1225,9.102704
-0.051263,1225,10.341336
-0.391589,1225,11.085515
-0.101089,1225,11.835179
0.471627,1225,13.115338
0.578396,1225,13.877566
0.729996,1225,14.627063
-0.256304,1225,15.919546
0.510351,1225,16.686878
0.87353,1225,17.643065
-0.180608,1225,18.420448
-0.146641,1225,19.727949
0.145305,1225,20.550346
0.210865,1225,21.433803
0.392435,1225,22.674392
0.122394,1225,23.426645
0.273751,1225,24.200276
0.350781,1225,25.427198
0.927886,1225,26.262278
1.188723,1225,27.14579
0.555148,1225,28.018547
-0.307902,1225,29.284039
0.44506,1225,30.114342
0.550479,1225,30.846956
0.811708,1225,32.073058
1.113342,1225,32.780464
0.551739,1225,33.52078
0.921619,1225,34.563807
0.538019,1225,35.292136
0.824692,1225,36.00175
0.790633,1225,36.732635
1.422716,1225,37.98161
1.187288,1225,38.796915
1.272427,1225,39.4259
1.877926,1225,40.52642
1.210917,1225,41.205505
1.424542,1225,41.886028
1.064145,1225,43.24689
1.377202,1225,44.301321
1.369926,1225,45.185891
1.603495,1225,45.937483
1.589298,1225,47.107914
1.945801,1225,47.895653
2.075603,1225,48.613416
1.908498,1225,49.843891
1.761631,1225,50.578793
2.274356,1225,51.297441
1.851876,1225,52.376435
1.885494,1225,53.157625
2.037112,1225,53.868466
1.464395,1225,54.727646
1.714709,1225,55.861441
2.284287,1225,56.612875
1.933003,1225,57.364245
2.309386,1225,58.507098
2.393261,1225,59.252057
2.336568,1225,59.985607
2.066274,1225,61.012143
1.787389,1225,61.746174
2.313944,1225,62.53392
1.813736,1225,63.206494
2.131114,1225,64.252859
2.581322,1225,65.015037
1.848669,1225,65.805582
2.230384,1225,66.86419
2.280883,1225,67.562438
2.033918,1225,68.253376
2.291613,1225,69.380755
2.439871,1225,70.145197
1.968572,1225,70.784974
1.833501,1225,71.455703
2.125757,1225,72.518677
2.650961,1225,73.175448
2.411255,1225,73.753244
2.352296,1225,74.783019
2.495127,1225,75.452801
