time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1225.0,-0.159825,3,1358,,,,,,,,,,
2,8192,1225.0,-0.2519806666666667,6,1361,-0.0051853470504283905,0.0017091781,-1.0980989456176757,2.44140625e-05,0.2,-0.0034244048758409916,10,-62.71427,0.0003,0.06363155199214816
3,12288,1225.0,-0.15801590000000001,9,1339,-0.010272583924233913,0.002880597,-1.094853113591671,0.001904296875,0.2,-0.0049505521601531655,20,-9.458437,0.0003,0.016538282763212918
4,16384,1225.0,-0.16339230769230773,12,1345,-0.01741306483745575,0.004370079,-1.089546726644039,0.005712890625,0.2,-0.006754570742486976,30,-9.4108305,0.0003,0.010524868953507394
5,20480,1225.0,-0.021505062499999998,15,1343,-0.011705002747476101,0.0049661454,-1.0825414270162583,0.0126220703125,0.2,-0.007302082734531723,40,-4.84691,0.0003,0.00771728553227149
6,24576,1225.0,0.030144400000000005,18,1328,-0.01342745404690504,0.0060584275,-1.071639783680439,0.0142333984375,0.2,-0.007850431944825686,50,-3.176147,0.0003,0.0061851090693380685
7,28672,1225.0,0.035322478260869566,21,1316,-0.016634544357657433,0.0060664164,-1.0555584251880645,0.0201416015625,0.2,-0.007917042350163684,60,-2.3566868,0.0003,0.00481768915487919
8,32768,1225.0,0.0615768076923077,24,1321,-0.02026877924799919,0.0062457286,-1.0491846442222594,0.023046875,0.2,-0.008990335202543064,70,-3.7062445,0.0003,0.003573632036568597
9,36864,1225.0,0.15411783333333332,28,1311,-0.012568127363920212,0.005000556,-1.0372059598565102,0.0177490234375,0.2,-0.007498758721339982,80,-1.7382176,0.0003,0.0033559551637154074
10,40960,1225.0,0.16094460606060607,31,1312,-0.01272645778954029,0.006023734,-1.0243430867791177,0.021826171875,0.2,-0.008257102515199222,90,-0.7519479,0.0003,0.0031795641814824195
11,45056,1225.0,0.21633225000000003,34,1323,-0.018179209902882576,0.006415285,-1.0141367673873902,0.034326171875,0.2,-0.0088442366279196,100,-0.43698466,0.0003,0.002724997021141462
12,49152,1225.0,0.2715731,36,1333,-0.02686399780213833,0.007357423,-1.0019181102514267,0.040966796875,0.2,-0.00998121583252214,110,-0.26868856,0.0003,0.0025247728422982617
13,53248,1225.0,0.34291523255813955,39,1338,-0.028667638078331947,0.00757792,-0.988240049034357,0.050927734375,0.2,-0.0102636850104318,120,-0.18079913,0.0003,0.002015965750615578
14,57344,1225.0,0.41866826086956516,42,1346,-0.018339669331908226,0.008680999,-0.9656248793005944,0.0487060546875,0.2,-0.010397146397735924,130,0.25349426,0.0003,0.003872123043402098
15,61440,1225.0,0.4934701599999999,46,1333,-0.01597839780151844,0.007526504,-0.9353557080030441,0.0432861328125,0.2,-0.010316596057964488,140,0.3561961,0.0003,0.002515689852589276
16,65536,1225.0,0.5714001886792451,49,1335,-0.013313863426446915,0.0063280817,-0.935739441215992,0.043994140625,0.2,-0.009393939320580103,150,0.39666772,0.0003,0.002683418881497346
17,69632,1225.0,0.6469409821428572,51,1341,-0.020534994080662727,0.007373205,-0.9215281844139099,0.03564453125,0.2,-0.008747149069677107,160,0.52157867,0.0003,0.003329855718766339
18,73728,1225.0,0.7244595333333333,54,1343,-0.02161538600921631,0.008472184,-0.889174572378397,0.0501953125,0.2,-0.008685493588563986,170,0.5615461,0.0003,0.003136857817298733
19,77824,1225.0,0.7841201746031746,57,1346,-0.0108820591121912,0.0071411952,-0.8628005653619766,0.04951171875,0.2,-0.009366544958902523,180,0.6098835,0.0003,0.0028319253804511392
20,81920,1225.0,0.8551331212121213,60,1353,-0.014885016717016697,0.005797654,-0.8442310385406018,0.0390869140625,0.2,-0.007920889693195932,190,0.6224928,0.0003,0.004054541807272471
21,86016,1225.0,0.9202875571428571,63,1357,-0.024962594732642174,0.0069266916,-0.8347072184085846,0.0547607421875,0.2,-0.010293109872145578,200,0.65563464,0.0003,0.0030991891224402936
22,90112,1225.0,0.9723456712328767,66,1361,-0.02395225316286087,0.0071610874,-0.8349285766482353,0.0452880859375,0.2,-0.008629925700370222,210,0.6854037,0.0003,0.0035400868247961624
