#{"t_start": 1760986445.7687683, "env_id": "None"}
r,l,t
-0.578503,2232,10.363575
-0.749195,2232,11.512014
0.067325,2232,13.142323
0.406745,2232,14.27277
0.289215,2232,15.504611
-0.548198,2232,17.020462
-0.767858,2232,18.161017
0.04908,2232,19.279904
-0.699798,2232,20.795175
-0.340988,2232,21.91451
-0.9528,2232,23.048486
0.813748,2232,24.580568
-0.64439,2232,25.725634
-0.572201,2232,27.230878
-0.298487,2232,28.378194
-0.498601,2232,29.499084
0.709303,2232,31.073421
-0.271912,2232,32.24704
0.819877,2232,33.354499
-0.191959,2232,34.875035
0.13658,2232,36.048548
0.293819,2232,37.176371
-0.788969,2232,38.736144
-0.566376,2232,39.843186
-0.670826,2232,41.372911
0.872089,2232,42.48239
-0.237432,2232,43.597047
-0.20184,2232,45.091786
0.63558,2232,46.218742
0.093505,2232,47.330862
-0.609507,2232,48.884027
0.465676,2232,50.015057
0.039673,2232,51.14469
0.060447,2232,52.666165
-1.327368,2232,53.780905
-0.25013,2232,55.341724
-0.378994,2232,56.464393
0.564262,2232,57.593709
-0.312607,2232,59.116142
-0.384238,2232,60.262773
-0.607482,2232,61.410373
-0.912841,2232,62.897804
0.79403,2232,64.027595
-0.836133,2232,65.145729
0.329443,2232,66.690833
-0.302297,2232,67.812276
-0.597243,2232,69.315199
-0.638652,2232,70.446887
-0.578326,2232,71.560475
1.259477,2232,73.076551
-0.66323,2232,74.186184
-1.706759,2232,75.312907
-0.391107,2232,76.818495
-0.315995,2232,77.932555
-0.631197,2232,79.099415
0.089488,2232,80.615507
0.368512,2232,81.756582
0.738118,2232,83.283115
-0.789413,2232,84.392015
-0.513931,2232,85.54002
-0.425344,2232,87.049237
0.25895,2232,88.201716
-0.438332,2232,89.325043
0.356593,2232,90.864817
-0.222192,2232,92.003376
0.130926,2232,93.150743
-0.294538,2232,94.729604
0.586383,2232,95.89916
0.498976,2232,97.409082
0.363642,2232,98.502304
0.484624,2232,99.617604
0.334234,2232,101.138152
0.062217,2232,102.233583
-0.846107,2232,103.351023
-0.254586,2232,104.875117
0.02055,2232,106.018926
0.465056,2232,107.134125
0.061396,2232,108.700892
-0.399622,2232,109.857742
0.344692,2232,111.384984
0.176053,2232,112.541129
0.465022,2232,113.666763
0.12311,2232,115.194368
0.610274,2232,116.307836
0.872478,2232,117.423227
1.21577,2232,118.975704
0.246566,2232,120.119164
0.320943,2232,121.536133
0.305911,2232,123.655616
0.478605,2232,125.400935
0.250506,2232,127.51005
-0.530882,2232,129.07274
0.224681,2232,130.785798
0.755285,2232,132.984888
-0.313675,2232,134.605741
0.559108,2232,136.422658
-0.12496,2232,138.671273
0.379432,2232,140.424709
1.21655,2232,142.207564
-0.08752,2232,144.512594
0.500698,2232,146.124853
1.935841,2232,148.271343
0.86973,2232,150.107939
0.106073,2232,151.83582
0.480948,2232,154.084265
0.682324,2232,155.827496
0.658949,2232,157.630349
1.715741,2232,159.885974
0.706331,2232,161.67941
1.883013,2232,163.513781
1.453343,2232,165.549584
1.186196,2232,167.351615
1.167759,2232,169.452225
1.918109,2232,171.178477
0.698883,2232,172.863397
0.239782,2232,175.10236
1.157353,2232,176.889741
0.329697,2232,178.62377
2.227644,2232,180.815569
1.155455,2232,182.530201
0.980259,2232,184.323861
1.448599,2232,186.604866
1.523262,2232,188.046925
1.248419,2232,190.45865
0.811847,2232,192.35559
1.001337,2232,193.975154
2.354666,2232,196.12321
1.067312,2232,197.898583
2.32984,2232,199.710392
1.767087,2232,202.017643
0.891662,2232,203.772296
1.532929,2232,205.507747
1.787263,2232,207.797567
1.83262,2232,209.600489
