#{"t_start": 1760986657.6088674, "env_id": "None"}
r,l,t
-0.438386,2231,1.858337
-0.174291,2231,3.41937
-0.421988,2231,5.515182
0.739073,2231,7.535151
0.051337,2231,9.221941
-0.892305,2231,11.259041
0.18,2231,13.031919
0.681454,2231,14.800264
0.140575,2231,16.950486
0.046111,2231,18.557331
-0.118534,2231,20.205879
0.195069,2231,22.20671
0.238427,2231,23.687061
-0.520521,2231,25.610069
0.355806,2231,27.224323
0.009329,2231,28.703703
0.669845,2231,30.860355
0.743723,2231,32.565109
0.375799,2231,34.286097
0.610154,2231,36.550175
0.296572,2231,38.308571
0.668472,2231,39.99962
0.879217,2231,42.182122
-0.099789,2231,43.899627
0.103111,2231,46.141072
0.814869,2231,47.892808
0.041398,2231,49.54929
0.400223,2231,51.809975
0.993045,2231,53.651639
0.733666,2231,55.327057
0.66235,2231,57.71807
1.071282,2231,59.394202
0.807267,2231,61.064753
1.030161,2231,63.654712
1.299749,2231,65.382606
0.446861,2231,67.473134
0.740509,2231,69.225392
0.557194,2231,71.095385
0.458302,2231,73.268605
0.842033,2231,74.914285
0.251892,2231,76.66405
0.588221,2231,79.085162
0.846452,2231,80.848662
1.208253,2231,82.559396
0.885621,2231,84.884274
1.174526,2231,86.645726
1.371745,2231,88.954403
0.883926,2231,90.694001
1.402991,2231,92.616102
1.770325,2231,94.758703
1.289505,2231,96.527586
0.905465,2231,98.237459
1.669268,2231,100.381037
1.625154,2231,102.230632
2.081987,2231,103.936143
1.908999,2231,106.409535
1.59584,2231,108.191478
1.522686,2231,110.458961
1.776131,2231,112.22211
1.40391,2231,113.885397
2.57427,2231,116.263859
2.069845,2231,117.823174
1.869115,2231,119.500864
1.47131,2231,121.829795
0.894376,2231,123.681343
2.080204,2231,125.4054
1.506662,2231,127.580576
1.555214,2231,129.374053
2.129024,2231,131.40516
1.489509,2231,133.081736
1.828313,2231,134.80764
2.275666,2231,137.016428
1.833071,2231,138.559646
1.938398,2231,139.989048
1.728578,2231,142.243205
1.431313,2231,144.060611
1.066318,2231,145.72598
2.037024,2231,147.876093
1.991567,2231,149.378198
2.031192,2231,151.548129
2.132284,2231,153.315705
1.684488,2231,154.946729
1.588879,2231,157.007295
1.288162,2231,158.734135
1.881934,2231,160.349266
2.077361,2231,162.645869
2.262769,2231,164.49631
1.927763,2231,166.520782
2.204399,2231,169.427838
1.399627,2231,171.357629
2.538896,2231,173.511239
2.325376,2231,175.453551
2.22142,2231,177.238328
2.297784,2231,179.597219
1.9814,2231,181.268521
1.996237,2231,183.170831
1.915926,2231,185.503418
2.307742,2231,187.197145
1.567807,2231,188.7132
2.116756,2231,190.986725
2.028453,2231,192.69322
2.199356,2231,194.930865
1.932126,2231,196.689198
2.472038,2231,198.484804
1.819298,2231,200.642354
2.250754,2231,202.426466
1.84265,2231,203.954441
2.09811,2231,206.228147
2.207125,2231,208.19406
2.107017,2231,209.943169
2.245817,2231,212.110675
2.411534,2231,213.676768
2.114348,2231,215.744878
2.647526,2231,217.537078
2.484861,2231,219.178475
2.956109,2231,221.517152
2.084571,2231,223.17562
2.028089,2231,224.839899
2.357393,2231,227.038748
2.544848,2231,228.67894
2.203505,2231,230.26896
2.359423,2231,232.501736
2.483953,2231,234.328565
2.494396,2231,236.539294
2.566952,2231,238.249554
2.320886,2231,239.972709
2.374868,2231,242.15542
2.62014,2231,243.894803
2.279004,2231,245.551601
2.344059,2231,247.638889
2.44915,2231,249.316812
1.907387,2231,251.051991
2.361292,2231,253.330716
2.784214,2231,255.104711
