#{"t_start": 1760925942.5347798, "env_id": "None"}
r,l,t
0.224117,1226,0.799022
-0.270148,1226,1.585021
-0.317158,1226,2.440111
0.038754,1226,3.700712
-0.265633,1226,4.546025
-0.07016,1226,5.413471
-0.026994,1226,6.682223
0.020664,1226,7.429647
0.0804,1226,8.194226
0.022673,1226,9.06393
-0.440956,1226,10.400182
-0.015032,1226,11.274825
-0.037455,1226,12.032924
0.170075,1226,13.3892
0.056331,1226,14.409499
-0.252437,1226,15.383999
-0.134074,1226,16.427929
-0.033468,1226,17.177468
0.27948,1226,17.904406
-0.024941,1226,18.544215
0.19638,1226,19.618925
-0.087232,1226,20.254085
-0.002868,1226,20.944907
0.191945,1226,21.959393
0.504408,1226,22.622476
-0.227659,1226,23.242388
-0.001628,1226,24.249857
0.161658,1226,25.00996
0.325088,1226,25.667688
0.253963,1226,26.322269
0.276429,1226,27.414628
0.306938,1226,28.074293
0.258457,1226,28.740987
0.126217,1226,29.880038
-0.020122,1226,30.704869
0.161711,1226,31.752494
0.278102,1226,33.042889
0.154773,1226,33.759235
0.24598,1226,34.496548
0.087699,1226,35.138689
0.073923,1226,36.223942
0.151173,1226,36.969554
0.346677,1226,37.663839
0.354635,1226,38.733399
0.522653,1226,39.433712
0.559122,1226,40.143303
0.307463,1226,41.180347
0.671371,1226,41.886919
0.386096,1226,42.459511
0.300373,1226,43.129958
0.237405,1226,44.229025
0.580522,1226,44.847466
0.337247,1226,45.607268
0.630468,1226,46.73816
0.417271,1226,47.410667
0.239817,1226,48.097117
0.18818,1226,49.169165
0.756681,1226,49.910432
0.481012,1226,50.624091
0.660549,1226,51.240174
0.454408,1226,52.252028
0.728017,1226,52.912346
0.805658,1226,53.542499
0.483663,1226,54.577905
0.902964,1226,55.192408
0.69044,1226,55.895875
0.704617,1226,56.959708
1.019948,1226,57.683663
0.557147,1226,58.352243
0.876678,1226,59.020333
0.615473,1226,60.084482
0.716379,1226,60.738416
0.937742,1226,61.439784
