time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1226.0,-0.12106299999999999,2,1496,,,,,,,,,,
2,8192,1226.0,-0.11003800000000001,5,1374,0.0016418052837252617,0.0016665992,-1.0980856582522391,0.0,0.2,-0.0033834121277322993,10,-22.430256,0.0003,0.09099905819166451
3,12288,1226.0,-0.0563485,9,1350,-0.008210727944970131,0.004409085,-1.0937711372971535,0.008154296875,0.2,-0.006206036417279392,20,-12.671382,0.0003,0.020063928747549652
4,16384,1226.0,-0.08130215384615383,12,1329,-0.016033023595809937,0.0037669914,-1.087116853892803,0.0041015625,0.2,-0.005412563751451671,30,-20.392035,0.0003,0.012239270214922725
5,20480,1226.0,-0.0676849375,15,1291,-0.01178479939699173,0.0046144906,-1.0794084206223489,0.0076416015625,0.2,-0.006358670524787158,40,-16.414244,0.0003,0.008871933788759634
6,24576,1226.0,-0.049798100000000005,18,1321,-0.011761658824980259,0.006302269,-1.0658588647842406,0.0162109375,0.2,-0.007157386018661782,50,-11.034317,0.0003,0.006521928950678557
7,28672,1226.0,-0.03868182608695653,21,1352,-0.013572472147643566,0.0077702072,-1.0476445063948632,0.0310791015625,0.2,-0.00914415056759026,60,-10.908301,0.0003,0.00489073132048361
8,32768,1226.0,-0.016191846153846154,23,1382,-0.012474287301301956,0.0063705156,-1.0308571442961694,0.0249755859375,0.2,-0.008384417579509317,70,-10.45458,0.0003,0.0040707820473471655
9,36864,1226.0,0.010603099999999999,26,1396,-0.018946558237075806,0.006177479,-1.0214206263422967,0.028759765625,0.2,-0.008947459158662241,80,-7.090603,0.0003,0.0032028504501795396
10,40960,1226.0,0.035149,29,1409,-0.024368561804294586,0.0064075147,-1.013099490106106,0.030615234375,0.2,-0.00897671903949231,90,-5.3960714,0.0003,0.002649247768567875
11,45056,1226.0,0.03965897222222223,32,1388,-0.021189728751778603,0.0070278067,-0.9964944459497929,0.03681640625,0.2,-0.009784929069428471,100,-4.3593554,0.0003,0.0022907554885023274
12,49152,1226.0,0.054856925,35,1395,-0.01329248957335949,0.0062037394,-0.9809240020811558,0.0296875,0.2,-0.008664606974343769,110,-2.945253,0.0003,0.001920095953391865
13,53248,1226.0,0.06432674418604652,37,1402,-0.019761698320508003,0.0057821856,-0.9763024039566517,0.0244384765625,0.2,-0.00800435381825082,120,-2.5565383,0.0003,0.0016563830053200946
14,57344,1226.0,0.09135782608695653,40,1410,-0.027956323698163033,0.00810031,-0.9485787853598595,0.0529541015625,0.2,-0.011717941667302511,130,-2.2347608,0.0003,0.001451038391678594
15,61440,1226.0,0.11735526,43,1421,-0.022750047966837883,0.006044305,-0.9278770886361599,0.0294189453125,0.2,-0.00780938669340685,140,-1.8784473,0.0003,0.0012774525661370718
16,65536,1226.0,0.13250824528301886,45,1425,-0.016577856615185738,0.006118471,-0.9206367075443268,0.0313720703125,0.2,-0.008469631330808625,150,-1.4458601,0.0003,0.0011071274886489846
17,69632,1226.0,0.1484016607142857,48,1430,-0.024412475526332855,0.0069697388,-0.897203329205513,0.037255859375,0.2,-0.009623654923052527,160,-0.9540478,0.0003,0.0010613719663524535
18,73728,1226.0,0.17328191666666665,51,1436,-0.02764873579144478,0.006379579,-0.863310094922781,0.0435791015625,0.2,-0.00988579519907944,170,-0.64305294,0.0003,0.0009720821246446576
19,77824,1226.0,0.1965872698412698,53,1444,-0.02019132301211357,0.0051165284,-0.8512416139245034,0.021484375,0.2,-0.007202379161026329,180,-0.26419723,0.0003,0.0008850673366396222
20,81920,1226.0,0.21912219696969698,56,1450,-0.021695364266633987,0.0053599593,-0.8281682178378105,0.030712890625,0.2,-0.00864224792458117,190,-0.016604662,0.0003,0.0009152960090432316
21,86016,1226.0,0.2517207857142857,59,1454,-0.020029081031680107,0.0058133537,-0.8055449433624744,0.0373779296875,0.2,-0.009363187834969722,200,0.17534322,0.0003,0.0008667017944389954
22,90112,1226.0,0.2724664246575343,61,1458,-0.01615164987742901,0.005208096,-0.8001946650445462,0.0303466796875,0.2,-0.007786599268729333,210,0.2066834,0.0003,0.0006851919417385944
23,94208,1226.0,0.29857453947368423,64,1464,-0.021023640409111977,0.0073034847,-0.7742276266217232,0.0561767578125,0.2,-0.011883485595171805,220,0.30306232,0.0003,0.0007293552480405197
24,98304,1226.0,0.3351720875,66,1468,-0.02146104723215103,0.0059529915,-0.7561162516474724,0.0413330078125,0.2,-0.008604425977682694,230,0.46679622,0.0003,0.0006705419924401213
25,102400,1226.0,0.36336314457831326,69,1472,-0.019328216090798378,0.0062593,-0.7513617284595966,0.0482666015625,0.2,-0.010146463177807163,240,0.54036206,0.0003,0.0006780225747206714
26,106496,1226.0,0.38992672093023256,72,1475,-0.013423800468444824,0.004599033,-0.73912995159626,0.03056640625,0.2,-0.008443541883025318,250,0.5795819,0.0003,0.0006873493657622021
27,110592,1226.0,0.42238947777777774,74,1481,-0.017087243497371674,0.0056720525,-0.7297726452350617,0.0370849609375,0.2,-0.009281831691623665,260,0.6299796,0.0003,0.0006663158048468177
28,114688,1226.0,0.45068906451612895,77,1485,-0.026875462383031845,0.0063263946,-0.7089224688708782,0.0450927734375,0.2,-0.0107070936326636,270,0.65194654,0.0003,0.0006368649454088881
29,118784,1226.0,0.48173253125000004,79,1489,-0.019060786813497543,0.005807214,-0.6796479634940624,0.0426025390625,0.2,-0.010337307554436848,280,0.6878163,0.0003,0.0006318179490335752
30,122880,1226.0,0.5204615,82,1488,-0.015967730432748795,0.005719872,-0.668257863074541,0.0454833984375,0.2,-0.010343628347618506,290,0.7344277,0.0003,0.0006492340951808728
31,126976,1226.0,0.5704005799999999,85,1479,-0.016756465658545494,0.0056631183,-0.6568009838461876,0.0390625,0.2,-0.01024921384814661,300,0.75522935,0.0003,0.0005798951558972476
32,131072,1226.0,0.61546662,88,1473,-0.019988756626844406,0.0054471605,-0.6345950283110142,0.0439453125,0.2,-0.009462233800149988,310,0.7751931,0.0003,0.0006599940752494149
33,135168,1226.0,0.67152428,92,1460,-0.02476923167705536,0.005542756,-0.6249801628291607,0.0479248046875,0.2,-0.01039645450655371,320,0.80015683,0.0003,0.0006662165724264923
34,139264,1226.0,0.7250745500000001,95,1460,-0.025249695405364037,0.006353082,-0.6033136174082756,0.0529296875,0.2,-0.011545206845039502,330,0.8199975,0.0003,0.0005982739738101372
35,143360,1226.0,0.7721517099999999,98,1460,-0.020516233518719673,0.0044213226,-0.5766606099903584,0.0351806640625,0.2,-0.009557567810406908,340,0.84039414,0.0003,0.000607199098158162
36,147456,1226.0,0.8407009500000001,101,1459,-0.016426630318164825,0.0056223404,-0.5727026842534542,0.047119140625,0.2,-0.010499142756452784,350,0.8431515,0.0003,0.0005967022829281632
37,151552,1226.0,0.8892676,103,1459,-0.01762491464614868,0.0048981416,-0.5673490025103092,0.044873046875,0.2,-0.009750696748960763,360,0.8692769,0.0003,0.0005171373744815355
38,155648,1226.0,0.9389287500000001,106,1457,-0.02442467398941517,0.0048479987,-0.5398016773164273,0.0419921875,0.2,-0.009004159324103967,370,0.8781594,0.0003,0.0005891788059670944
39,159744,1226.0,1.00983618,110,1450,-0.01995067298412323,0.0070900056,-0.5383829869329929,0.0551025390625,0.2,-0.01134612854802981,380,0.8863723,0.0003,0.0005216992809437216
40,163840,1226.0,1.05737831,113,1437,-0.013477732427418232,0.004161479,-0.5229155130684375,0.0327392578125,0.2,-0.007874857555725612,390,0.8966787,0.0003,0.000508655427256599
41,167936,1226.0,1.11217335,117,1432,-0.01894652098417282,0.0052783513,-0.501562936604023,0.048828125,0.2,-0.010350487288087606,400,0.9063395,0.0003,0.0005674078383890446
42,172032,1226.0,1.18043848,120,1430,-0.016170240938663483,0.004347573,-0.5075705479830503,0.03974609375,0.2,-0.008784397048293613,410,0.9021128,0.0003,0.0006050940737623023
43,176128,1226.0,1.2380541499999997,123,1426,-0.011993533000349998,0.0039802548,-0.4872388433665037,0.0324951171875,0.2,-0.007845951159833931,420,0.9159262,0.0003,0.0005107905137265334
44,180224,1226.0,1.30439861,126,1429,-0.016961606219410896,0.0044208094,-0.4698927879333496,0.041845703125,0.2,-0.009263924017432146,430,0.93142223,0.0003,0.0005193927459913539
