#{"t_start": 1760926377.8045847, "env_id": "None"}
r,l,t
-0.046413,1225,0.77775
-0.004565,1225,1.432728
-0.17776,1225,2.056844
-0.467354,1225,3.135567
-0.469342,1225,3.91646
-0.187442,1225,4.845684
0.168429,1225,6.41675
-0.26938,1225,7.31907
-0.445362,1225,8.114931
-0.200846,1225,8.833631
-0.204359,1225,10.30186
-0.511551,1225,11.409988
-0.287643,1225,12.416517
0.540873,1225,13.839081
-0.099731,1225,14.764488
-0.165842,1225,15.744267
-0.309323,1225,17.142844
0.322364,1225,18.182285
0.088787,1225,19.234885
-0.027406,1225,19.885948
0.055048,1225,20.921591
-0.086235,1225,21.566843
-0.203281,1225,22.290947
0.144346,1225,23.432226
0.368034,1225,24.197982
-0.385483,1225,24.903711
0.052178,1225,25.980934
-0.119173,1225,26.665936
0.102517,1225,27.357941
0.239366,1225,27.994385
-0.014019,1225,29.088392
-0.073192,1225,29.841629
0.273812,1225,30.520743
-0.034669,1225,31.573449
0.361535,1225,32.363561
-0.116366,1225,33.151007
0.286677,1225,34.254055
0.30271,1225,34.945578
0.574018,1225,35.651041
0.164528,1225,36.247521
-0.010435,1225,37.308274
0.246594,1225,37.925372
0.279348,1225,38.619007
0.516728,1225,39.772382
0.296337,1225,40.386011
0.163223,1225,40.994469
0.179271,1225,41.969296
0.463939,1225,42.792592
0.918709,1225,43.635398
0.19345,1225,44.364053
0.480721,1225,45.467571
0.594604,1225,46.021662
0.534804,1225,46.621264
0.083417,1225,47.64885
-0.0125,1225,48.338241
-0.06099,1225,48.994966
0.258261,1225,50.014929
0.77812,1225,50.666791
0.126804,1225,51.358773
0.514234,1225,52.134754
0.641225,1225,53.213222
0.49264,1225,53.840343
0.676583,1225,54.525293
0.81993,1225,55.611535
0.877965,1225,56.283895
0.947268,1225,56.947419
0.744838,1225,58.072544
1.187412,1225,58.760702
1.235714,1225,59.52686
0.832153,1225,60.206209
1.106222,1225,61.314307
0.723429,1225,62.072027
0.889219,1225,62.820494
0.860854,1225,63.917187
0.648785,1225,64.621107
0.859216,1225,65.365408
1.098493,1225,66.385337
1.05602,1225,67.157978
1.071409,1225,67.816079
1.1617,1225,68.493992
1.033013,1225,69.603858
1.049011,1225,70.235026
1.104432,1225,70.858557
1.139146,1225,71.90076
1.120725,1225,72.608753
0.856709,1225,73.276701
1.29957,1225,74.344019
1.248825,1225,75.093669
1.287655,1225,75.698099
1.578006,1225,76.402457
1.578315,1225,77.509976
1.416149,1225,78.150221
1.451166,1225,78.876796
1.30561,1225,79.91023
1.80742,1225,80.607925
1.302154,1225,81.244475
1.408643,1225,82.275356
1.624963,1225,82.999854
1.482387,1225,83.71381
1.690272,1225,84.368925
1.897987,1225,85.452162
1.451087,1225,86.135197
1.66441,1225,86.838919
1.733513,1225,87.930171
1.368878,1225,88.92502
1.965644,1225,89.901133
1.618676,1225,91.234446
1.912991,1225,92.215488
1.808212,1225,93.313241
2.031044,1225,93.947048
1.864053,1225,95.213304
1.698836,1225,95.9022
1.720873,1225,96.595942
1.889423,1225,97.872084
1.880686,1225,98.752512
1.853766,1225,99.451862
2.049693,1225,100.136296
2.004962,1225,101.281889
1.82563,1225,101.956039
2.093819,1225,102.688193
2.006628,1225,103.77426
1.94921,1225,104.340597
2.202386,1225,104.979231
2.192911,1225,106.134975
1.959655,1225,106.937693
2.258434,1225,107.980872
2.305489,1225,108.991634
2.280704,1225,110.284045
2.240676,1225,111.09142
2.073311,1225,111.791042
2.422831,1225,112.905693
2.113695,1225,113.607745
2.383073,1225,114.363491
2.454763,1225,115.595596
2.354316,1225,116.355166
2.250346,1225,117.024271
2.265486,1225,117.752194
2.391788,1225,118.900068
2.394798,1225,119.610295
2.326357,1225,120.412535
2.353653,1225,121.648408
2.476021,1225,122.460949
2.453936,1225,123.135576
2.625875,1225,124.229741
2.760402,1225,124.920582
2.658929,1225,125.659909
2.497402,1225,126.375452
2.95903,1225,127.495494
2.715037,1225,128.058202
2.902287,1225,128.630026
2.616738,1225,129.607968
2.613852,1225,130.229409
2.902837,1225,130.909055
2.687692,1225,132.084587
2.63632,1225,132.823269
2.980208,1225,133.486872
2.86259,1225,134.191924
2.912282,1225,135.331966
2.960247,1225,136.021316
2.924074,1225,136.72977
2.572748,1225,137.916746
2.782971,1225,138.729753
2.968003,1225,139.41667
3.025659,1225,140.529273
2.983618,1225,141.275467
3.053026,1225,142.081878
2.927622,1225,142.88329
3.114696,1225,144.526439
3.078197,1225,145.367106
3.048226,1225,146.16505
2.927619,1225,147.558586
3.078919,1225,148.596817
3.043503,1225,150.035059
3.123303,1225,151.89832
3.115663,1225,152.850392
2.94706,1225,153.78084
3.181413,1225,154.808555
3.173647,1225,156.721304
3.166617,1225,157.895014
3.264107,1225,158.863249
3.059512,1225,160.282521
3.365408,1225,161.22787
3.264231,1225,162.240572
3.107442,1225,163.594669
3.231355,1225,164.227922
3.394827,1225,164.866886
3.207876,1225,165.528602
3.111255,1225,166.650935
3.163816,1225,167.408331
3.295801,1225,168.362909
3.477808,1225,169.579263
3.085082,1225,170.409443
3.235697,1225,171.248855
3.310839,1225,172.614523
3.354381,1225,173.548343
3.44725,1225,174.366433
3.464815,1225,175.202333
3.367455,1225,176.671407
3.266369,1225,177.554442
3.621559,1225,178.470389
3.437869,1225,179.745466
3.453274,1225,180.644473
3.564175,1225,181.548298
3.590436,1225,183.002384
3.802417,1225,183.958283
3.740127,1225,184.859209
3.717273,1225,185.780851
3.584539,1225,187.343331
3.600942,1225,188.318989
3.851701,1225,189.284171
3.620084,1225,190.774719
3.620885,1225,191.581846
3.693258,1225,192.46701
3.868283,1225,193.78392
3.834013,1225,194.69055
3.571962,1225,195.770646
3.539593,1225,196.662761
3.928496,1225,197.975369
3.76886,1225,198.859987
3.766465,1225,199.775677
3.914423,1225,201.087241
3.854201,1225,201.897307
3.850556,1225,202.830508
3.810861,1225,203.606223
3.897918,1225,204.900167
3.731875,1225,205.657221
3.845577,1225,206.427782
3.95986,1225,207.618049
4.219374,1225,208.487477
4.146882,1225,209.215508
3.880435,1225,210.360155
3.954779,1225,211.134526
3.936562,1225,211.994844
4.074506,1225,212.760298
4.136902,1225,213.962857
4.229421,1225,214.865393
4.209846,1225,215.783361
3.922767,1225,217.212607
4.040707,1225,218.065626
4.296643,1225,218.892848
3.992716,1225,220.127974
4.18475,1225,220.925243
4.205514,1225,221.719143
4.225444,1225,222.525343
4.194452,1225,223.818644
4.17687,1225,224.755755
4.289312,1225,225.639014
4.537425,1225,226.796977
4.27856,1225,227.640604
4.230227,1225,228.623057
4.243925,1225,229.957108
4.287001,1225,230.854401
4.286287,1225,231.729026
4.426931,1225,232.542001
4.387709,1225,233.855713
4.237164,1225,234.90321
4.47394,1225,235.989247
4.570375,1225,237.584841
4.422501,1225,238.632148
4.269191,1225,239.730811
4.322267,1225,241.239394
4.461499,1225,242.264876
4.464635,1225,243.370215
4.487041,1225,244.338994
4.527859,1225,245.802743
4.36791,1225,246.833394
4.606205,1225,247.825568
4.341622,1225,249.221501
4.408294,1225,250.088096
4.515163,1225,250.885613
4.664397,1225,252.04392
4.695784,1225,252.926917
4.541141,1225,253.849032
4.596561,1225,254.813394
4.68097,1225,256.103794
4.688165,1225,256.869809
4.584069,1225,257.753996
4.565555,1225,259.1278
4.59332,1225,259.963373
4.571869,1225,260.829167
4.67003,1225,262.293057
4.6352,1225,263.181496
4.746172,1225,264.097914
4.775044,1225,265.065191
4.742652,1225,266.476414
4.633955,1225,267.425063
4.690758,1225,268.452055
4.719448,1225,269.912884
4.882789,1225,270.751714
4.781798,1225,271.71806
4.539761,1225,273.167668
4.747415,1225,274.071382
4.984557,1225,275.004491
4.911492,1225,275.90438
4.996113,1225,277.276958
4.797435,1225,278.277397
4.783981,1225,279.315483
4.995186,1225,280.850033
4.818064,1225,281.846763
4.947589,1225,282.899308
4.818536,1225,284.367596
4.856601,1225,285.460672
4.895004,1225,286.686776
5.038081,1225,287.680164
4.934612,1225,289.01615
4.854045,1225,289.833491
5.003712,1225,290.75707
4.986858,1225,292.119747
4.955082,1225,293.032315
5.128547,1225,294.002469
4.932137,1225,295.427014
5.043911,1225,296.410249
5.068811,1225,297.470853
5.093667,1225,298.351129
5.232628,1225,299.638761
5.048997,1225,300.572344
5.158888,1225,301.521465
5.091039,1225,302.860392
4.98256,1225,303.758653
5.108163,1225,304.672872
5.044828,1225,305.927014
5.086115,1225,306.737684
5.225508,1225,307.539152
5.168766,1225,308.334691
5.189116,1225,309.528849
5.119444,1225,310.366568
5.187141,1225,311.323677
5.189803,1225,312.588586
5.1313,1225,313.429952
5.152454,1225,314.266124
5.239283,1225,315.155903
5.252394,1225,316.35804
5.153342,1225,317.188312
5.292243,1225,317.985104
5.133814,1225,319.204459
5.226983,1225,320.073584
5.164629,1225,320.923189
5.289001,1225,322.162515
5.27074,1225,322.967247
5.355569,1225,323.761425
5.262601,1225,324.615827
5.249682,1225,325.797422
5.248297,1225,326.557795
5.414909,1225,327.33958
5.417979,1225,328.606429
5.423447,1225,329.440673
5.351262,1225,330.215497
5.358525,1225,331.427681
5.45363,1225,332.230364
5.459907,1225,333.076944
5.427496,1225,333.95242
5.399851,1225,335.142815
5.441421,1225,335.956239
5.392751,1225,336.784966
5.488875,1225,337.999079
5.462572,1225,338.840239
5.430319,1225,339.638223
5.417917,1225,340.827839
5.457636,1225,341.613998
5.484349,1225,342.468956
5.44986,1225,343.34081
5.558742,1225,344.5509
5.507068,1225,345.378547
5.457504,1225,346.214543
5.313891,1225,347.418709
5.546914,1225,348.278699
5.53652,1225,349.084817
5.488374,1225,350.239283
5.653345,1225,350.975505
5.427077,1225,351.828925
5.539776,1225,352.573213
5.608617,1225,353.823059
5.519454,1225,354.662024
5.564865,1225,355.451523
5.60794,1225,356.575568
5.585676,1225,357.343005
5.572401,1225,358.176186
5.550618,1225,359.410328
5.556977,1225,360.252663
5.585707,1225,361.0695
5.597608,1225,361.875044
5.58531,1225,363.159182
5.711012,1225,363.958552
5.553723,1225,364.778285
5.626538,1225,365.952779
5.542496,1225,366.755391
5.576929,1225,367.560006
5.708845,1225,368.779851
5.701707,1225,369.592536
5.729154,1225,370.408354
5.733976,1225,371.259833
5.744206,1225,372.447587
5.602047,1225,373.254095
5.504382,1225,374.021387
5.690034,1225,375.305208
5.665788,1225,376.159339
5.738805,1225,377.004329
5.782743,1225,378.308099
5.73261,1225,379.157406
5.690078,1225,379.959549
5.76164,1225,380.798731
5.664135,1225,381.974599
5.658075,1225,382.799678
5.838257,1225,383.664823
5.756357,1225,384.897845
5.714669,1225,385.687359
5.885985,1225,386.530236
5.805496,1225,387.75064
5.796611,1225,388.543457
5.806551,1225,389.392525
5.571926,1225,390.240082
5.748197,1225,391.427132
5.811131,1225,392.187878
5.742794,1225,393.013976
5.882079,1225,394.297075
5.797218,1225,395.061166
5.817472,1225,395.879339
5.823331,1225,397.124198
5.752155,1225,397.980635
5.785384,1225,398.8154
5.803748,1225,399.681482
5.776486,1225,400.965756
5.807288,1225,401.839719
5.758594,1225,402.650948
5.845027,1225,403.895509
5.892576,1225,404.715525
5.899841,1225,405.526673
5.813277,1225,406.807837
5.849425,1225,407.66273
5.872273,1225,408.623451
5.905422,1225,409.452934
5.718734,1225,410.768966
5.889125,1225,411.588072
5.893844,1225,412.426167
5.842118,1225,413.70308
5.773138,1225,414.583626
5.793046,1225,415.461919
5.832939,1225,416.270464
5.924234,1225,417.462242
5.93878,1225,418.259392
5.913383,1225,419.08177
5.893066,1225,420.355899
5.951753,1225,421.165719
5.794639,1225,421.935197
5.758174,1225,423.102996
5.932685,1225,423.908229
5.79141,1225,424.749302
5.838827,1225,425.557867
5.94733,1225,426.825361
5.936886,1225,427.679455
5.861554,1225,428.489705
5.751862,1225,429.726289
5.711394,1225,430.549107
5.9358,1225,431.431479
5.880077,1225,432.635867
5.721922,1225,433.448199
5.898646,1225,434.258382
5.965629,1225,435.118786
5.912742,1225,436.432508
5.832717,1225,437.236429
5.861895,1225,438.102457
5.889771,1225,439.299909
5.934432,1225,440.15462
5.945953,1225,440.9698
5.905664,1225,442.167604
5.977908,1225,443.01603
6.014263,1225,443.787897
5.96454,1225,444.613675
5.95912,1225,445.870253
6.013015,1225,446.710524
5.950745,1225,447.596458
5.898552,1225,448.753774
6.025168,1225,449.568099
5.995894,1225,450.385691
5.893504,1225,451.674294
5.96614,1225,452.510426
5.905315,1225,453.239705
6.016408,1225,454.053297
6.00665,1225,455.344077
5.906554,1225,456.162261
6.009384,1225,457.000622
6.056481,1225,458.182763
5.999439,1225,459.020192
6.087654,1225,459.859196
5.935767,1225,461.047556
6.015791,1225,461.868186
6.109535,1225,462.662201
6.047191,1225,463.469234
6.037483,1225,464.667665
5.958484,1225,465.426171
6.074327,1225,466.232045
