time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
1,4096,1225.0,-0.22721233333333335,2,1599,,,,,,,,,,
2,8192,1225.0,-0.13361366666666666,5,1399,0.006477575749158859,0.00238554,-1.0978581055998802,0.0004638671875,0.2,-0.004140677122632041,10,-12.290097,0.0003,0.13357017943635582
3,12288,1225.0,-0.10332870000000001,8,1403,-0.0007945485413074493,0.0034326124,-1.0933067128062248,0.0021484375,0.2,-0.004748035651573446,20,-9.774127,0.0003,0.025316328275948763
4,16384,1225.0,-0.10086892307692308,11,1396,-0.01185617595911026,0.0049492274,-1.0856123685836792,0.00615234375,0.2,-0.006588336490676738,30,-13.110232,0.0003,0.01699729363899678
5,20480,1225.0,-0.102487375,14,1377,-0.01544292364269495,0.006017761,-1.0758367151021957,0.01455078125,0.2,-0.007770910885301419,40,-16.859207,0.0003,0.011685695929918439
6,24576,1225.0,-0.10193270000000001,18,1364,-0.018327368423342705,0.007193799,-1.0601351633667946,0.0256103515625,0.2,-0.008690199596458115,50,-14.059539,0.0003,0.008544354123296216
7,28672,1225.0,-0.08847708695652176,21,1345,-0.014417089521884918,0.005971064,-1.0494564026594162,0.0173828125,0.2,-0.007587184652220458,60,-12.379395,0.0003,0.006526268651941791
8,32768,1225.0,-0.058601076923076915,24,1336,-0.014102360233664513,0.005441077,-1.0469944700598717,0.01279296875,0.2,-0.007101863532443531,70,-8.850468,0.0003,0.005109702900517732
9,36864,1225.0,-0.04501846666666665,27,1336,-0.01988189108669758,0.0070992666,-1.0408157423138618,0.02490234375,0.2,-0.00953199490904808,80,-7.1380196,0.0003,0.004011337825795635
10,40960,1225.0,-0.03198130303030303,30,1335,-0.017328638583421707,0.007738433,-1.02307980209589,0.0343505859375,0.2,-0.00969983297836734,90,-5.487052,0.0003,0.0032627521810354664
11,45056,1225.0,-0.012244916666666664,33,1334,-0.012457330711185932,0.0063345004,-1.0050936728715896,0.0287841796875,0.2,-0.008932096365606412,100,-4.3780284,0.0003,0.002901327339350246
12,49152,1225.0,0.01642085,36,1339,-0.0174899622797966,0.006800037,-0.9919319033622742,0.0337158203125,0.2,-0.010191050090361387,110,-3.4898505,0.0003,0.0023745051803416573
13,53248,1225.0,0.03854555813953488,39,1341,-0.017251528799533844,0.0065253726,-0.9804399691522121,0.0267578125,0.2,-0.008374282694421708,120,-3.586423,0.0003,0.0019859823369188234
14,57344,1225.0,0.0748963043478261,42,1342,-0.023874538019299507,0.0071224947,-0.9730855375528336,0.04033203125,0.2,-0.010499088722281159,130,-3.2024393,0.0003,0.0017768624689779243
15,61440,1225.0,0.1113841,45,1339,-0.021757105365395546,0.0067518353,-0.9597419843077659,0.037060546875,0.2,-0.008951646730565699,140,-1.9098811,0.0003,0.0015909611189272254
16,65536,1225.0,0.1395292641509434,48,1341,-0.01555011048913002,0.006429705,-0.9393411636352539,0.0306396484375,0.2,-0.008282187045551836,150,-1.5258088,0.0003,0.0014399055988178588
17,69632,1225.0,0.1578820892857143,52,1339,-0.027208251878619194,0.0064100767,-0.9194526985287667,0.035693359375,0.2,-0.009323701341054402,160,-1.4978662,0.0003,0.0012214112299261614
18,73728,1225.0,0.19613643333333336,55,1340,-0.01708916574716568,0.0067387624,-0.8852115891873836,0.0572509765625,0.2,-0.01161083763872739,170,-0.71442556,0.0003,0.001201878726715222
19,77824,1225.0,0.2189897301587302,58,1339,-0.02109120599925518,0.007134201,-0.8695074245333672,0.04814453125,0.2,-0.010844028973951935,180,-0.65279615,0.0003,0.0010196372109930961
20,81920,1225.0,0.24851716666666665,61,1339,-0.021211344748735428,0.0061482214,-0.8510525517165661,0.0396484375,0.2,-0.009982090139237699,190,-0.44355237,0.0003,0.0009493064200796653
21,86016,1225.0,0.2956022857142857,64,1342,-0.017381194978952408,0.0063422658,-0.8317628771066665,0.0405029296875,0.2,-0.00992504387977533,200,-0.21881783,0.0003,0.0009346650600491557
22,90112,1225.0,0.3261600684931507,67,1343,-0.027600612491369247,0.0066098087,-0.8166898004710674,0.05185546875,0.2,-0.010512160532016424,210,-0.027455688,0.0003,0.000894809456076473
23,94208,1225.0,0.35935898684210527,70,1345,-0.023105863481760025,0.006603269,-0.7969518385827541,0.038671875,0.2,-0.009729049450834281,220,0.097465396,0.0003,0.000845501699950546
24,98304,1225.0,0.39311235,73,1344,-0.01713998056948185,0.006281442,-0.7678302496671676,0.0433349609375,0.2,-0.009704972596955486,230,0.23433197,0.0003,0.0007883338003011886
25,102400,1225.0,0.42599536144578315,76,1346,-0.01902693510055542,0.0064817164,-0.7455701731145382,0.0514892578125,0.2,-0.01069669087883085,240,0.24902928,0.0003,0.0007138076653063763
26,106496,1225.0,0.45816897674418616,79,1346,-0.019927924498915672,0.0066802823,-0.7296672970056534,0.0516845703125,0.2,-0.01086503394471947,250,0.35620028,0.0003,0.0007922651442640926
27,110592,1225.0,0.49629308888888884,82,1347,-0.01392523106187582,0.005809754,-0.6999948360025883,0.050634765625,0.2,-0.010218524871743285,260,0.47313255,0.0003,0.0006990126501477789
28,114688,1225.0,0.5220331505376343,85,1336,-0.008654418401420116,0.0060578585,-0.6969663977622986,0.0473388671875,0.2,-0.010078992001945153,270,0.49655867,0.0003,0.0006793977743654977
29,118784,1225.0,0.5495591770833334,89,1330,-0.012292861007153988,0.0053061666,-0.6898421876132488,0.03701171875,0.2,-0.00898359733109828,280,0.5325656,0.0003,0.0006289333017775789
30,122880,1225.0,0.59002947,92,1323,-0.0215979665517807,0.005670134,-0.6677719801664352,0.0453369140625,0.2,-0.010076955854310654,290,0.6156437,0.0003,0.0005803385934996186
31,126976,1225.0,0.64472549,96,1318,-0.015694452449679375,0.0046550734,-0.6705654062330723,0.02939453125,0.2,-0.008653961920936126,300,0.62698585,0.0003,0.0005829628218634753
32,131072,1225.0,0.69062359,99,1312,-0.026663292199373245,0.005652384,-0.6544648915529251,0.0466552734375,0.2,-0.01178348295215983,310,0.64744556,0.0003,0.000604262316483073
33,135168,1225.0,0.7637981899999998,103,1306,-0.01925148069858551,0.0052494756,-0.6318529926240444,0.0449951171875,0.2,-0.010882113699335606,320,0.6782012,0.0003,0.0006710739668051247
34,139264,1225.0,0.8165220200000001,106,1303,-0.013799261301755905,0.00443469,-0.6186623737215996,0.0325927734375,0.2,-0.009577810391783714,330,0.6904198,0.0003,0.0005643944150506286
35,143360,1225.0,0.8970618399999999,110,1299,-0.0221612099558115,0.005364028,-0.6020389221608639,0.04736328125,0.2,-0.010873072524555027,340,0.70142186,0.0003,0.0005488335635163821
36,147456,1225.0,0.9621446899999999,113,1297,-0.01731773279607296,0.0044844868,-0.5917230896651745,0.033740234375,0.2,-0.008717803718172944,350,0.7668807,0.0003,0.0005232302595686633
37,151552,1225.0,1.01383677,117,1291,-0.017500467598438263,0.0048019076,-0.5814338237047195,0.037255859375,0.2,-0.009754821364185772,360,0.7575816,0.0003,0.0005533044452022296
38,155648,1225.0,1.08638563,120,1286,-0.020479286089539528,0.0050354414,-0.5577193379402161,0.0501220703125,0.2,-0.010889632557518781,370,0.7748246,0.0003,0.0005278376575006405
