#{"t_start": 1760925449.840406, "env_id": "None"}
r,l,t
-0.365227,1225,0.869536
-0.149753,1225,1.583657
-0.166657,1225,2.286184
0.291148,1225,3.488764
-0.268131,1225,4.314673
-0.143062,1225,5.211177
0.257551,1225,6.527316
-0.206838,1225,7.28894
-0.25597,1225,8.008541
-0.026348,1225,8.720392
0.071704,1225,9.857224
-0.161583,1225,10.640257
-0.18813,1225,11.400325
-0.233153,1225,12.615172
-0.109077,1225,13.420952
0.013728,1225,14.245929
0.047814,1225,15.520099
0.054711,1225,16.309808
-0.266741,1225,17.115923
-0.23464,1225,17.945863
0.164821,1225,19.234222
-0.251217,1225,20.060166
0.090077,1225,20.956283
-0.05706,1225,22.220687
0.324405,1225,23.000453
0.244,1225,23.865978
-0.089106,1225,25.117823
0.219493,1225,25.961729
0.059811,1225,26.755164
-0.017124,1225,27.484741
0.124931,1225,28.70504
-0.158334,1225,29.526643
0.328574,1225,30.327047
0.317924,1225,31.587148
-0.012766,1225,32.366157
0.309408,1225,33.158479
0.367327,1225,34.327239
0.433955,1225,35.092439
0.27003,1225,35.859474
0.026339,1225,36.603085
0.509732,1225,37.812887
0.238198,1225,38.563088
0.252695,1225,39.313694
1.081117,1225,40.529437
0.16915,1225,41.268882
0.537504,1225,42.083941
0.49374,1225,43.246545
0.815671,1225,44.152397
0.480374,1225,44.909469
0.33419,1225,45.724619
0.547523,1225,46.946778
0.622773,1225,47.669997
0.65555,1225,48.441039
0.157735,1225,49.682165
0.673051,1225,50.471056
0.61556,1225,51.28706
0.544472,1225,52.540287
0.689616,1225,53.320479
0.705823,1225,54.084378
0.986878,1225,54.78633
0.583054,1225,56.057499
0.728262,1225,56.835162
0.716851,1225,57.668218
1.012024,1225,58.850176
0.710912,1225,59.733337
0.882844,1225,60.497321
1.143485,1225,61.665104
1.126006,1225,62.442823
0.647394,1225,63.208096
1.373142,1225,63.910405
0.913945,1225,65.081856
0.969401,1225,65.87355
1.234179,1225,66.673385
1.335499,1225,67.885436
1.322122,1225,68.573164
0.843977,1225,69.322387
1.018054,1225,70.481743
1.078591,1225,71.270502
0.865698,1225,72.035147
1.175362,1225,72.871008
