rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/loss
0.42851954,2231.98,307200,1305,1,4,,,,,,,,,,
0.43347715000000003,2231.95,313344,1225,2,10,0.0001,-3.6618981,0.002727218,0.008279914346834024,0.2,0.0048828125,500,-0.9346608281135559,-0.004634691227693111,-0.011834079399704933
0.45221425,2231.92,319488,1201,3,15,0.0001,-4.2869096,0.0015006033,0.006182216030235092,0.2,0.000927734375,510,-0.927679647008578,-0.002764991686368982,-0.009042860940098763
0.45002237,2231.89,325632,1213,4,20,0.0001,-4.675588,0.0017445735,0.005427482887171209,0.2,0.0017578125,520,-0.9263960182666778,-0.0034850243750649194,-0.014426778070628643
0.4633527300000001,2231.87,331776,1234,5,24,0.0001,-4.3795547,0.0012433563,0.004592868390803536,0.2,0.00068359375,530,-0.928825506567955,-0.0028757057734765112,-0.010049317963421345
0.46137388,2231.84,337920,1244,6,29,0.0001,-3.5370946,0.0017681117,0.003921923142236968,0.2,0.0017903645833333333,540,-0.926067582766215,-0.0033798364534353216,-0.013851127587258816
0.5068785100000001,2231.81,344064,1236,7,34,0.0001,-3.7036643,0.00087385555,0.003562308238664021,0.2,8.138020833333333e-05,550,-0.9183220277229945,-0.0022053019803327818,-0.008638709783554077
0.53120753,2231.78,350208,1226,8,40,0.0001,-2.6114328,0.0013310504,0.0035067487702084084,0.2,0.00047200520833333334,560,-0.9187956591447194,-0.0029358260663381467,-0.01206043642014265
0.5279355099999999,2231.76,356352,1219,9,45,0.0001,-2.3233798,0.00086578727,0.0032346640829928218,0.2,0.000146484375,570,-0.9140045414368312,-0.002117476387259861,-0.010329567827284336
0.55481617,2231.73,362496,1216,10,50,0.0001,-1.8585827,0.0012076834,0.0028191565691183013,0.2,0.001025390625,580,-0.9153152227401733,-0.0025877732996984074,-0.011658738367259502
0.5743134,2231.7,368640,1210,11,55,0.0001,-2.228476,0.0011885456,0.002490466359692315,0.2,0.0007975260416666667,590,-0.9144410024086634,-0.002670122015600403,-0.009834248572587967
0.6035804300000001,2231.67,374784,1204,12,61,0.0001,-1.542145,0.00088999636,0.0024898835729497176,0.2,8.138020833333333e-05,600,-0.9129743198553721,-0.0021488367579877376,-0.009576846845448017
0.61602594,2231.65,380928,1196,13,66,0.0001,-0.859053,0.0014732265,0.0026258264745896063,0.2,0.00035807291666666664,610,-0.9029081255197525,-0.002810098277404904,-0.010460933670401573
0.6216465800000001,2231.62,387072,1194,14,72,0.0001,-0.6153331,0.0016334719,0.002498042645553748,0.2,0.001318359375,620,-0.8893055429061254,-0.0031536656412451216,-0.01105430442839861
0.6475536100000001,2231.59,393216,1190,15,77,0.0001,-0.8276092,0.0011693311,0.002088307651380698,0.2,0.0007161458333333333,630,-0.8800085693597793,-0.0024759617110248653,-0.01061311736702919
0.66851285,2231.56,399360,1188,16,82,0.0001,-0.46210253,0.0010238523,0.002332241121136273,0.2,0.0005533854166666667,640,-0.8715700368086498,-0.002321632029876734,-0.008374108001589775
0.6896636199999999,2231.54,405504,1183,17,88,0.0001,-0.47032404,0.001255117,0.0021236719893446814,0.2,0.00035807291666666664,650,-0.8552590330441793,-0.0021424208554284025,-0.009299849160015583
